roof type,total,geo_code,geo_level,geo_version
Galvanized Iron Plate,646,2007,local,2016
Mud Roof,0,2007,local,2016
Not Stated Roof,5,2007,local,2016
Other Type of Roof,2,2007,local,2016
RCC Roof,7,2007,local,2016
Thatch/Straw Roof,2137,2007,local,2016
Tile/Slate Roof,16,2007,local,2016
Wood/Planks Roof,2,2007,local,2016
Galvanized Iron Plate,1997,2002,local,2016
Mud Roof,1,2002,local,2016
Not Stated Roof,22,2002,local,2016
Other Type of Roof,43,2002,local,2016
RCC Roof,49,2002,local,2016
Thatch/Straw Roof,2969,2002,local,2016
Tile/Slate Roof,57,2002,local,2016
Wood/Planks Roof,24,2002,local,2016
Galvanized Iron Plate,9011,74,district,2016
Mud Roof,0,74,district,2016
Not Stated Roof,108,74,district,2016
Other Type of Roof,174,74,district,2016
RCC Roof,279,74,district,2016
Thatch/Straw Roof,12239,74,district,2016
Tile/Slate Roof,217,74,district,2016
Wood/Planks Roof,56,74,district,2016
Galvanized Iron Plate,994,8001,local,2016
Mud Roof,0,8001,local,2016
Not Stated Roof,24,8001,local,2016
Other Type of Roof,2,8001,local,2016
RCC Roof,2,8001,local,2016
Thatch/Straw Roof,3524,8001,local,2016
Tile/Slate Roof,28,8001,local,2016
Wood/Planks Roof,4,8001,local,2016
Galvanized Iron Plate,2672,8005,local,2016
Mud Roof,0,8005,local,2016
Not Stated Roof,21,8005,local,2016
Other Type of Roof,8,8005,local,2016
RCC Roof,190,8005,local,2016
Thatch/Straw Roof,1580,8005,local,2016
Tile/Slate Roof,117,8005,local,2016
Wood/Planks Roof,7,8005,local,2016
Galvanized Iron Plate,2087,8003,local,2016
Mud Roof,0,8003,local,2016
Not Stated Roof,12,8003,local,2016
Other Type of Roof,94,8003,local,2016
RCC Roof,57,8003,local,2016
Thatch/Straw Roof,1394,8003,local,2016
Tile/Slate Roof,13,8003,local,2016
Wood/Planks Roof,20,8003,local,2016
Galvanized Iron Plate,867,8004,local,2016
Mud Roof,0,8004,local,2016
Not Stated Roof,16,8004,local,2016
Other Type of Roof,56,8004,local,2016
RCC Roof,0,8004,local,2016
Thatch/Straw Roof,815,8004,local,2016
Tile/Slate Roof,17,8004,local,2016
Wood/Planks Roof,23,8004,local,2016
Galvanized Iron Plate,1041,8006,local,2016
Mud Roof,0,8006,local,2016
Not Stated Roof,15,8006,local,2016
Other Type of Roof,9,8006,local,2016
RCC Roof,11,8006,local,2016
Thatch/Straw Roof,2701,8006,local,2016
Tile/Slate Roof,25,8006,local,2016
Wood/Planks Roof,2,8006,local,2016
Galvanized Iron Plate,1350,8002,local,2016
Mud Roof,0,8002,local,2016
Not Stated Roof,20,8002,local,2016
Other Type of Roof,5,8002,local,2016
RCC Roof,19,8002,local,2016
Thatch/Straw Roof,2225,8002,local,2016
Tile/Slate Roof,17,8002,local,2016
Wood/Planks Roof,0,8002,local,2016
Galvanized Iron Plate,52221,26,district,2016
Mud Roof,6,26,district,2016
Not Stated Roof,506,26,district,2016
Other Type of Roof,725,26,district,2016
RCC Roof,2022,26,district,2016
Thatch/Straw Roof,8369,26,district,2016
Tile/Slate Roof,406,26,district,2016
Wood/Planks Roof,222,26,district,2016
Galvanized Iron Plate,3011,3009,local,2016
Mud Roof,0,3009,local,2016
Not Stated Roof,30,3009,local,2016
Other Type of Roof,346,3009,local,2016
RCC Roof,5,3009,local,2016
Thatch/Straw Roof,205,3009,local,2016
Tile/Slate Roof,22,3009,local,2016
Wood/Planks Roof,24,3009,local,2016
Galvanized Iron Plate,3612,3001,local,2016
Mud Roof,0,3001,local,2016
Not Stated Roof,27,3001,local,2016
Other Type of Roof,9,3001,local,2016
RCC Roof,7,3001,local,2016
Thatch/Straw Roof,938,3001,local,2016
Tile/Slate Roof,14,3001,local,2016
Wood/Planks Roof,42,3001,local,2016
Galvanized Iron Plate,2686,3007,local,2016
Mud Roof,0,3007,local,2016
Not Stated Roof,48,3007,local,2016
Other Type of Roof,29,3007,local,2016
RCC Roof,22,3007,local,2016
Thatch/Straw Roof,906,3007,local,2016
Tile/Slate Roof,27,3007,local,2016
Wood/Planks Roof,11,3007,local,2016
Galvanized Iron Plate,3324,3003,local,2016
Mud Roof,0,3003,local,2016
Not Stated Roof,28,3003,local,2016
Other Type of Roof,5,3003,local,2016
RCC Roof,12,3003,local,2016
Thatch/Straw Roof,1248,3003,local,2016
Tile/Slate Roof,14,3003,local,2016
Wood/Planks Roof,3,3003,local,2016
Galvanized Iron Plate,3891,3006,local,2016
Mud Roof,0,3006,local,2016
Not Stated Roof,21,3006,local,2016
Other Type of Roof,77,3006,local,2016
RCC Roof,9,3006,local,2016
Thatch/Straw Roof,647,3006,local,2016
Tile/Slate Roof,29,3006,local,2016
Wood/Planks Roof,3,3006,local,2016
Galvanized Iron Plate,5489,3005,local,2016
Mud Roof,0,3005,local,2016
Not Stated Roof,46,3005,local,2016
Other Type of Roof,8,3005,local,2016
RCC Roof,34,3005,local,2016
Thatch/Straw Roof,1373,3005,local,2016
Tile/Slate Roof,82,3005,local,2016
Wood/Planks Roof,45,3005,local,2016
Galvanized Iron Plate,3691,3008,local,2016
Mud Roof,4,3008,local,2016
Not Stated Roof,34,3008,local,2016
Other Type of Roof,22,3008,local,2016
RCC Roof,29,3008,local,2016
Thatch/Straw Roof,532,3008,local,2016
Tile/Slate Roof,28,3008,local,2016
Wood/Planks Roof,11,3008,local,2016
Galvanized Iron Plate,8899,3004,local,2016
Mud Roof,0,3004,local,2016
Not Stated Roof,158,3004,local,2016
Other Type of Roof,61,3004,local,2016
RCC Roof,1150,3004,local,2016
Thatch/Straw Roof,1039,3004,local,2016
Tile/Slate Roof,59,3004,local,2016
Wood/Planks Roof,17,3004,local,2016
Galvanized Iron Plate,5925,3002,local,2016
Mud Roof,1,3002,local,2016
Not Stated Roof,41,3002,local,2016
Other Type of Roof,92,3002,local,2016
RCC Roof,62,3002,local,2016
Thatch/Straw Roof,955,3002,local,2016
Tile/Slate Roof,39,3002,local,2016
Wood/Planks Roof,8,3002,local,2016
Galvanized Iron Plate,11693,3010,local,2016
Mud Roof,1,3010,local,2016
Not Stated Roof,73,3010,local,2016
Other Type of Roof,76,3010,local,2016
RCC Roof,692,3010,local,2016
Thatch/Straw Roof,526,3010,local,2016
Tile/Slate Roof,92,3010,local,2016
Wood/Planks Roof,58,3010,local,2016
Galvanized Iron Plate,4388,49,district,2016
Mud Roof,4,49,district,2016
Not Stated Roof,329,49,district,2016
Other Type of Roof,402,49,district,2016
RCC Roof,119,49,district,2016
Thatch/Straw Roof,17111,49,district,2016
Tile/Slate Roof,9086,49,district,2016
Wood/Planks Roof,1027,49,district,2016
Galvanized Iron Plate,356,12008,local,2016
Mud Roof,0,12008,local,2016
Not Stated Roof,30,12008,local,2016
Other Type of Roof,3,12008,local,2016
RCC Roof,6,12008,local,2016
Thatch/Straw Roof,2891,12008,local,2016
Tile/Slate Roof,700,12008,local,2016
Wood/Planks Roof,1,12008,local,2016
Galvanized Iron Plate,472,12001,local,2016
Mud Roof,0,12001,local,2016
Not Stated Roof,28,12001,local,2016
Other Type of Roof,10,12001,local,2016
RCC Roof,3,12001,local,2016
Thatch/Straw Roof,2128,12001,local,2016
Tile/Slate Roof,1153,12001,local,2016
Wood/Planks Roof,2,12001,local,2016
Galvanized Iron Plate,183,12002,local,2016
Mud Roof,0,12002,local,2016
Not Stated Roof,35,12002,local,2016
Other Type of Roof,64,12002,local,2016
RCC Roof,3,12002,local,2016
Thatch/Straw Roof,2976,12002,local,2016
Tile/Slate Roof,73,12002,local,2016
Wood/Planks Roof,0,12002,local,2016
Galvanized Iron Plate,205,12004,local,2016
Mud Roof,0,12004,local,2016
Not Stated Roof,17,12004,local,2016
Other Type of Roof,19,12004,local,2016
RCC Roof,1,12004,local,2016
Thatch/Straw Roof,1005,12004,local,2016
Tile/Slate Roof,1710,12004,local,2016
Wood/Planks Roof,0,12004,local,2016
Galvanized Iron Plate,2223,12007,local,2016
Mud Roof,1,12007,local,2016
Not Stated Roof,142,12007,local,2016
Other Type of Roof,186,12007,local,2016
RCC Roof,80,12007,local,2016
Thatch/Straw Roof,3342,12007,local,2016
Tile/Slate Roof,724,12007,local,2016
Wood/Planks Roof,296,12007,local,2016
Galvanized Iron Plate,820,12005,local,2016
Mud Roof,3,12005,local,2016
Not Stated Roof,43,12005,local,2016
Other Type of Roof,20,12005,local,2016
RCC Roof,21,12005,local,2016
Thatch/Straw Roof,3593,12005,local,2016
Tile/Slate Roof,117,12005,local,2016
Wood/Planks Roof,1,12005,local,2016
Galvanized Iron Plate,31,12003,local,2016
Mud Roof,0,12003,local,2016
Not Stated Roof,13,12003,local,2016
Other Type of Roof,29,12003,local,2016
RCC Roof,3,12003,local,2016
Thatch/Straw Roof,115,12003,local,2016
Tile/Slate Roof,2416,12003,local,2016
Wood/Planks Roof,504,12003,local,2016
Galvanized Iron Plate,98,12006,local,2016
Mud Roof,0,12006,local,2016
Not Stated Roof,21,12006,local,2016
Other Type of Roof,71,12006,local,2016
RCC Roof,2,12006,local,2016
Thatch/Straw Roof,1061,12006,local,2016
Tile/Slate Roof,2193,12006,local,2016
Wood/Planks Roof,223,12006,local,2016
Galvanized Iron Plate,6603,37,district,2016
Mud Roof,121,37,district,2016
Not Stated Roof,316,37,district,2016
Other Type of Roof,640,37,district,2016
RCC Roof,60,37,district,2016
Thatch/Straw Roof,31523,37,district,2016
Tile/Slate Roof,3226,37,district,2016
Wood/Planks Roof,158,37,district,2016
Galvanized Iron Plate,405,13006,local,2016
Mud Roof,0,13006,local,2016
Not Stated Roof,23,13006,local,2016
Other Type of Roof,149,13006,local,2016
RCC Roof,2,13006,local,2016
Thatch/Straw Roof,2671,13006,local,2016
Tile/Slate Roof,11,13006,local,2016
Wood/Planks Roof,86,13006,local,2016
Galvanized Iron Plate,392,13010,local,2016
Mud Roof,0,13010,local,2016
Not Stated Roof,14,13010,local,2016
Other Type of Roof,34,13010,local,2016
RCC Roof,0,13010,local,2016
Thatch/Straw Roof,1592,13010,local,2016
Tile/Slate Roof,368,13010,local,2016
Wood/Planks Roof,8,13010,local,2016
Galvanized Iron Plate,362,13004,local,2016
Mud Roof,96,13004,local,2016
Not Stated Roof,30,13004,local,2016
Other Type of Roof,14,13004,local,2016
RCC Roof,19,13004,local,2016
Thatch/Straw Roof,4990,13004,local,2016
Tile/Slate Roof,326,13004,local,2016
Wood/Planks Roof,1,13004,local,2016
Galvanized Iron Plate,278,13001,local,2016
Mud Roof,0,13001,local,2016
Not Stated Roof,15,13001,local,2016
Other Type of Roof,27,13001,local,2016
RCC Roof,1,13001,local,2016
Thatch/Straw Roof,3009,13001,local,2016
Tile/Slate Roof,141,13001,local,2016
Wood/Planks Roof,20,13001,local,2016
Galvanized Iron Plate,225,13002,local,2016
Mud Roof,4,13002,local,2016
Not Stated Roof,22,13002,local,2016
Other Type of Roof,4,13002,local,2016
RCC Roof,21,13002,local,2016
Thatch/Straw Roof,2384,13002,local,2016
Tile/Slate Roof,39,13002,local,2016
Wood/Planks Roof,3,13002,local,2016
Galvanized Iron Plate,178,13008,local,2016
Mud Roof,0,13008,local,2016
Not Stated Roof,23,13008,local,2016
Other Type of Roof,8,13008,local,2016
RCC Roof,0,13008,local,2016
Thatch/Straw Roof,2578,13008,local,2016
Tile/Slate Roof,3,13008,local,2016
Wood/Planks Roof,3,13008,local,2016
Galvanized Iron Plate,466,13003,local,2016
Mud Roof,9,13003,local,2016
Not Stated Roof,34,13003,local,2016
Other Type of Roof,35,13003,local,2016
RCC Roof,6,13003,local,2016
Thatch/Straw Roof,2520,13003,local,2016
Tile/Slate Roof,1069,13003,local,2016
Wood/Planks Roof,1,13003,local,2016
Galvanized Iron Plate,353,13007,local,2016
Mud Roof,2,13007,local,2016
Not Stated Roof,39,13007,local,2016
Other Type of Roof,5,13007,local,2016
RCC Roof,2,13007,local,2016
Thatch/Straw Roof,3886,13007,local,2016
Tile/Slate Roof,414,13007,local,2016
Wood/Planks Roof,2,13007,local,2016
Galvanized Iron Plate,307,13005,local,2016
Mud Roof,4,13005,local,2016
Not Stated Roof,29,13005,local,2016
Other Type of Roof,3,13005,local,2016
RCC Roof,1,13005,local,2016
Thatch/Straw Roof,2806,13005,local,2016
Tile/Slate Roof,25,13005,local,2016
Wood/Planks Roof,0,13005,local,2016
Galvanized Iron Plate,3637,13009,local,2016
Mud Roof,6,13009,local,2016
Not Stated Roof,87,13009,local,2016
Other Type of Roof,361,13009,local,2016
RCC Roof,8,13009,local,2016
Thatch/Straw Roof,5087,13009,local,2016
Tile/Slate Roof,830,13009,local,2016
Wood/Planks Roof,34,13009,local,2016
Galvanized Iron Plate,8725,73,district,2016
Mud Roof,2,73,district,2016
Not Stated Roof,178,73,district,2016
Other Type of Roof,519,73,district,2016
RCC Roof,362,73,district,2016
Thatch/Straw Roof,16128,73,district,2016
Tile/Slate Roof,144,73,district,2016
Wood/Planks Roof,413,73,district,2016
Galvanized Iron Plate,829,1005,local,2016
Mud Roof,0,1005,local,2016
Not Stated Roof,27,1005,local,2016
Other Type of Roof,183,1005,local,2016
RCC Roof,2,1005,local,2016
Thatch/Straw Roof,1202,1005,local,2016
Tile/Slate Roof,2,1005,local,2016
Wood/Planks Roof,280,1005,local,2016
Galvanized Iron Plate,497,1002,local,2016
Mud Roof,0,1002,local,2016
Not Stated Roof,17,1002,local,2016
Other Type of Roof,22,1002,local,2016
RCC Roof,7,1002,local,2016
Thatch/Straw Roof,1623,1002,local,2016
Tile/Slate Roof,9,1002,local,2016
Wood/Planks Roof,19,1002,local,2016
Galvanized Iron Plate,3560,1006,local,2016
Mud Roof,1,1006,local,2016
Not Stated Roof,29,1006,local,2016
Other Type of Roof,29,1006,local,2016
RCC Roof,330,1006,local,2016
Thatch/Straw Roof,1997,1006,local,2016
Tile/Slate Roof,30,1006,local,2016
Wood/Planks Roof,10,1006,local,2016
Galvanized Iron Plate,687,1007,local,2016
Mud Roof,0,1007,local,2016
Not Stated Roof,19,1007,local,2016
Other Type of Roof,50,1007,local,2016
RCC Roof,0,1007,local,2016
Thatch/Straw Roof,1587,1007,local,2016
Tile/Slate Roof,24,1007,local,2016
Wood/Planks Roof,3,1007,local,2016
Galvanized Iron Plate,440,1004,local,2016
Mud Roof,0,1004,local,2016
Not Stated Roof,20,1004,local,2016
Other Type of Roof,94,1004,local,2016
RCC Roof,2,1004,local,2016
Thatch/Straw Roof,1236,1004,local,2016
Tile/Slate Roof,6,1004,local,2016
Wood/Planks Roof,71,1004,local,2016
Galvanized Iron Plate,1140,1008,local,2016
Mud Roof,1,1008,local,2016
Not Stated Roof,20,1008,local,2016
Other Type of Roof,55,1008,local,2016
RCC Roof,9,1008,local,2016
Thatch/Straw Roof,1955,1008,local,2016
Tile/Slate Roof,30,1008,local,2016
Wood/Planks Roof,17,1008,local,2016
Galvanized Iron Plate,639,1009,local,2016
Mud Roof,0,1009,local,2016
Not Stated Roof,12,1009,local,2016
Other Type of Roof,4,1009,local,2016
RCC Roof,7,1009,local,2016
Thatch/Straw Roof,2168,1009,local,2016
Tile/Slate Roof,3,1009,local,2016
Wood/Planks Roof,1,1009,local,2016
Galvanized Iron Plate,486,1003,local,2016
Mud Roof,0,1003,local,2016
Not Stated Roof,22,1003,local,2016
Other Type of Roof,82,1003,local,2016
RCC Roof,4,1003,local,2016
Thatch/Straw Roof,1964,1003,local,2016
Tile/Slate Roof,14,1003,local,2016
Wood/Planks Roof,6,1003,local,2016
Galvanized Iron Plate,447,1001,local,2016
Mud Roof,0,1001,local,2016
Not Stated Roof,12,1001,local,2016
Other Type of Roof,0,1001,local,2016
RCC Roof,1,1001,local,2016
Thatch/Straw Roof,2396,1001,local,2016
Tile/Slate Roof,26,1001,local,2016
Wood/Planks Roof,6,1001,local,2016
Galvanized Iron Plate,123159,43,district,2016
Mud Roof,0,43,district,2016
Not Stated Roof,1891,43,district,2016
Other Type of Roof,364,43,district,2016
RCC Roof,36834,43,district,2016
Thatch/Straw Roof,45002,43,district,2016
Tile/Slate Roof,6051,43,district,2016
Wood/Planks Roof,569,43,district,2016
Galvanized Iron Plate,11689,5015,local,2016
Mud Roof,0,5015,local,2016
Not Stated Roof,188,5015,local,2016
Other Type of Roof,21,5015,local,2016
RCC Roof,3812,5015,local,2016
Thatch/Straw Roof,2761,5015,local,2016
Tile/Slate Roof,105,5015,local,2016
Wood/Planks Roof,34,5015,local,2016
Galvanized Iron Plate,5459,5010,local,2016
Mud Roof,0,5010,local,2016
Not Stated Roof,60,5010,local,2016
Other Type of Roof,16,5010,local,2016
RCC Roof,476,5010,local,2016
Thatch/Straw Roof,1267,5010,local,2016
Tile/Slate Roof,27,5010,local,2016
Wood/Planks Roof,34,5010,local,2016
Galvanized Iron Plate,8814,5014,local,2016
Mud Roof,0,5014,local,2016
Not Stated Roof,73,5014,local,2016
Other Type of Roof,15,5014,local,2016
RCC Roof,253,5014,local,2016
Thatch/Straw Roof,3259,5014,local,2016
Tile/Slate Roof,33,5014,local,2016
Wood/Planks Roof,35,5014,local,2016
Galvanized Iron Plate,5009,5003,local,2016
Mud Roof,0,5003,local,2016
Not Stated Roof,108,5003,local,2016
Other Type of Roof,18,5003,local,2016
RCC Roof,1681,5003,local,2016
Thatch/Straw Roof,2731,5003,local,2016
Tile/Slate Roof,69,5003,local,2016
Wood/Planks Roof,5,5003,local,2016
Galvanized Iron Plate,8534,5017,local,2016
Mud Roof,0,5017,local,2016
Not Stated Roof,85,5017,local,2016
Other Type of Roof,28,5017,local,2016
RCC Roof,2339,5017,local,2016
Thatch/Straw Roof,1404,5017,local,2016
Tile/Slate Roof,87,5017,local,2016
Wood/Planks Roof,53,5017,local,2016
Galvanized Iron Plate,7504,5016,local,2016
Mud Roof,0,5016,local,2016
Not Stated Roof,81,5016,local,2016
Other Type of Roof,9,5016,local,2016
RCC Roof,137,5016,local,2016
Thatch/Straw Roof,2991,5016,local,2016
Tile/Slate Roof,57,5016,local,2016
Wood/Planks Roof,16,5016,local,2016
Galvanized Iron Plate,5113,5007,local,2016
Mud Roof,0,5007,local,2016
Not Stated Roof,43,5007,local,2016
Other Type of Roof,8,5007,local,2016
RCC Roof,213,5007,local,2016
Thatch/Straw Roof,3243,5007,local,2016
Tile/Slate Roof,45,5007,local,2016
Wood/Planks Roof,18,5007,local,2016
Galvanized Iron Plate,8770,5001,local,2016
Mud Roof,0,5001,local,2016
Not Stated Roof,112,5001,local,2016
Other Type of Roof,15,5001,local,2016
RCC Roof,1550,5001,local,2016
Thatch/Straw Roof,4771,5001,local,2016
Tile/Slate Roof,82,5001,local,2016
Wood/Planks Roof,38,5001,local,2016
Galvanized Iron Plate,9605,5012,local,2016
Mud Roof,0,5012,local,2016
Not Stated Roof,127,5012,local,2016
Other Type of Roof,47,5012,local,2016
RCC Roof,1442,5012,local,2016
Thatch/Straw Roof,2662,5012,local,2016
Tile/Slate Roof,29,5012,local,2016
Wood/Planks Roof,44,5012,local,2016
Galvanized Iron Plate,5285,5011,local,2016
Mud Roof,0,5011,local,2016
Not Stated Roof,20,5011,local,2016
Other Type of Roof,11,5011,local,2016
RCC Roof,157,5011,local,2016
Thatch/Straw Roof,885,5011,local,2016
Tile/Slate Roof,25,5011,local,2016
Wood/Planks Roof,34,5011,local,2016
Galvanized Iron Plate,3803,5005,local,2016
Mud Roof,0,5005,local,2016
Not Stated Roof,34,5005,local,2016
Other Type of Roof,9,5005,local,2016
RCC Roof,193,5005,local,2016
Thatch/Straw Roof,3827,5005,local,2016
Tile/Slate Roof,42,5005,local,2016
Wood/Planks Roof,12,5005,local,2016
Galvanized Iron Plate,6722,5013,local,2016
Mud Roof,0,5013,local,2016
Not Stated Roof,48,5013,local,2016
Other Type of Roof,28,5013,local,2016
RCC Roof,287,5013,local,2016
Thatch/Straw Roof,4020,5013,local,2016
Tile/Slate Roof,101,5013,local,2016
Wood/Planks Roof,43,5013,local,2016
Galvanized Iron Plate,4587,5008,local,2016
Mud Roof,0,5008,local,2016
Not Stated Roof,25,5008,local,2016
Other Type of Roof,14,5008,local,2016
RCC Roof,421,5008,local,2016
Thatch/Straw Roof,2707,5008,local,2016
Tile/Slate Roof,245,5008,local,2016
Wood/Planks Roof,10,5008,local,2016
Galvanized Iron Plate,5871,5004,local,2016
Mud Roof,0,5004,local,2016
Not Stated Roof,39,5004,local,2016
Other Type of Roof,7,5004,local,2016
RCC Roof,129,5004,local,2016
Thatch/Straw Roof,1844,5004,local,2016
Tile/Slate Roof,55,5004,local,2016
Wood/Planks Roof,12,5004,local,2016
Galvanized Iron Plate,5690,5006,local,2016
Mud Roof,0,5006,local,2016
Not Stated Roof,54,5006,local,2016
Other Type of Roof,23,5006,local,2016
RCC Roof,177,5006,local,2016
Thatch/Straw Roof,2131,5006,local,2016
Tile/Slate Roof,70,5006,local,2016
Wood/Planks Roof,30,5006,local,2016
Galvanized Iron Plate,5056,5009,local,2016
Mud Roof,0,5009,local,2016
Not Stated Roof,29,5009,local,2016
Other Type of Roof,16,5009,local,2016
RCC Roof,154,5009,local,2016
Thatch/Straw Roof,1661,5009,local,2016
Tile/Slate Roof,43,5009,local,2016
Wood/Planks Roof,32,5009,local,2016
Galvanized Iron Plate,15648,5002,local,2016
Mud Roof,0,5002,local,2016
Not Stated Roof,765,5002,local,2016
Other Type of Roof,79,5002,local,2016
RCC Roof,23413,5002,local,2016
Thatch/Straw Roof,2838,5002,local,2016
Tile/Slate Roof,4936,5002,local,2016
Wood/Planks Roof,119,5002,local,2016
Galvanized Iron Plate,5666,68,district,2016
Mud Roof,5,68,district,2016
Not Stated Roof,76,68,district,2016
Other Type of Roof,856,68,district,2016
RCC Roof,28,68,district,2016
Thatch/Straw Roof,8633,68,district,2016
Tile/Slate Roof,2674,68,district,2016
Wood/Planks Roof,5820,68,district,2016
Galvanized Iron Plate,729,11001,local,2016
Mud Roof,0,11001,local,2016
Not Stated Roof,9,11001,local,2016
Other Type of Roof,39,11001,local,2016
RCC Roof,1,11001,local,2016
Thatch/Straw Roof,3042,11001,local,2016
Tile/Slate Roof,346,11001,local,2016
Wood/Planks Roof,74,11001,local,2016
Galvanized Iron Plate,347,11006,local,2016
Mud Roof,2,11006,local,2016
Not Stated Roof,11,11006,local,2016
Other Type of Roof,41,11006,local,2016
RCC Roof,0,11006,local,2016
Thatch/Straw Roof,1784,11006,local,2016
Tile/Slate Roof,778,11006,local,2016
Wood/Planks Roof,673,11006,local,2016
Galvanized Iron Plate,1773,11007,local,2016
Mud Roof,0,11007,local,2016
Not Stated Roof,23,11007,local,2016
Other Type of Roof,17,11007,local,2016
RCC Roof,7,11007,local,2016
Thatch/Straw Roof,82,11007,local,2016
Tile/Slate Roof,465,11007,local,2016
Wood/Planks Roof,2613,11007,local,2016
Galvanized Iron Plate,184,11004,local,2016
Mud Roof,0,11004,local,2016
Not Stated Roof,5,11004,local,2016
Other Type of Roof,39,11004,local,2016
RCC Roof,2,11004,local,2016
Thatch/Straw Roof,20,11004,local,2016
Tile/Slate Roof,385,11004,local,2016
Wood/Planks Roof,533,11004,local,2016
Galvanized Iron Plate,1450,11003,local,2016
Mud Roof,0,11003,local,2016
Not Stated Roof,8,11003,local,2016
Other Type of Roof,72,11003,local,2016
RCC Roof,4,11003,local,2016
Thatch/Straw Roof,39,11003,local,2016
Tile/Slate Roof,487,11003,local,2016
Wood/Planks Roof,373,11003,local,2016
Galvanized Iron Plate,326,11008,local,2016
Mud Roof,0,11008,local,2016
Not Stated Roof,7,11008,local,2016
Other Type of Roof,48,11008,local,2016
RCC Roof,2,11008,local,2016
Thatch/Straw Roof,1421,11008,local,2016
Tile/Slate Roof,2,11008,local,2016
Wood/Planks Roof,242,11008,local,2016
Galvanized Iron Plate,290,11005,local,2016
Mud Roof,2,11005,local,2016
Not Stated Roof,2,11005,local,2016
Other Type of Roof,519,11005,local,2016
RCC Roof,7,11005,local,2016
Thatch/Straw Roof,1076,11005,local,2016
Tile/Slate Roof,2,11005,local,2016
Wood/Planks Roof,552,11005,local,2016
Galvanized Iron Plate,567,11002,local,2016
Mud Roof,1,11002,local,2016
Not Stated Roof,11,11002,local,2016
Other Type of Roof,81,11002,local,2016
RCC Roof,5,11002,local,2016
Thatch/Straw Roof,1169,11002,local,2016
Tile/Slate Roof,209,11002,local,2016
Wood/Planks Roof,760,11002,local,2016
Galvanized Iron Plate,33544,6,province,2016
Mud Roof,49782,6,province,2016
Not Stated Roof,2905,6,province,2016
Other Type of Roof,1455,6,province,2016
RCC Roof,13301,6,province,2016
Thatch/Straw Roof,95364,6,province,2016
Tile/Slate Roof,98582,6,province,2016
Wood/Planks Roof,3241,6,province,2016
Galvanized Iron Plate,4174,14,district,2016
Mud Roof,2767,14,district,2016
Not Stated Roof,442,14,district,2016
Other Type of Roof,468,14,district,2016
RCC Roof,956,14,district,2016
Thatch/Straw Roof,14083,14,district,2016
Tile/Slate Roof,25955,14,district,2016
Wood/Planks Roof,70,14,district,2016
Galvanized Iron Plate,199,60001,local,2016
Mud Roof,461,60001,local,2016
Not Stated Roof,40,60001,local,2016
Other Type of Roof,19,60001,local,2016
RCC Roof,35,60001,local,2016
Thatch/Straw Roof,1417,60001,local,2016
Tile/Slate Roof,3087,60001,local,2016
Wood/Planks Roof,5,60001,local,2016
Galvanized Iron Plate,582,60007,local,2016
Mud Roof,236,60007,local,2016
Not Stated Roof,25,60007,local,2016
Other Type of Roof,11,60007,local,2016
RCC Roof,42,60007,local,2016
Thatch/Straw Roof,2216,60007,local,2016
Tile/Slate Roof,975,60007,local,2016
Wood/Planks Roof,9,60007,local,2016
Galvanized Iron Plate,96,60002,local,2016
Mud Roof,7,60002,local,2016
Not Stated Roof,21,60002,local,2016
Other Type of Roof,1,60002,local,2016
RCC Roof,15,60002,local,2016
Thatch/Straw Roof,260,60002,local,2016
Tile/Slate Roof,2957,60002,local,2016
Wood/Planks Roof,2,60002,local,2016
Galvanized Iron Plate,1198,60009,local,2016
Mud Roof,110,60009,local,2016
Not Stated Roof,74,60009,local,2016
Other Type of Roof,24,60009,local,2016
RCC Roof,649,60009,local,2016
Thatch/Straw Roof,1647,60009,local,2016
Tile/Slate Roof,2086,60009,local,2016
Wood/Planks Roof,3,60009,local,2016
Galvanized Iron Plate,139,60006,local,2016
Mud Roof,92,60006,local,2016
Not Stated Roof,30,60006,local,2016
Other Type of Roof,0,60006,local,2016
RCC Roof,121,60006,local,2016
Thatch/Straw Roof,629,60006,local,2016
Tile/Slate Roof,2022,60006,local,2016
Wood/Planks Roof,11,60006,local,2016
Galvanized Iron Plate,218,60004,local,2016
Mud Roof,556,60004,local,2016
Not Stated Roof,28,60004,local,2016
Other Type of Roof,98,60004,local,2016
RCC Roof,2,60004,local,2016
Thatch/Straw Roof,709,60004,local,2016
Tile/Slate Roof,3017,60004,local,2016
Wood/Planks Roof,6,60004,local,2016
Galvanized Iron Plate,1332,60005,local,2016
Mud Roof,641,60005,local,2016
Not Stated Roof,73,60005,local,2016
Other Type of Roof,151,60005,local,2016
RCC Roof,35,60005,local,2016
Thatch/Straw Roof,3818,60005,local,2016
Tile/Slate Roof,2105,60005,local,2016
Wood/Planks Roof,9,60005,local,2016
Galvanized Iron Plate,133,60010,local,2016
Mud Roof,0,60010,local,2016
Not Stated Roof,42,60010,local,2016
Other Type of Roof,50,60010,local,2016
RCC Roof,29,60010,local,2016
Thatch/Straw Roof,1683,60010,local,2016
Tile/Slate Roof,1770,60010,local,2016
Wood/Planks Roof,1,60010,local,2016
Galvanized Iron Plate,121,60003,local,2016
Mud Roof,389,60003,local,2016
Not Stated Roof,28,60003,local,2016
Other Type of Roof,84,60003,local,2016
RCC Roof,13,60003,local,2016
Thatch/Straw Roof,529,60003,local,2016
Tile/Slate Roof,2812,60003,local,2016
