main type of cooking fuel,total,geo_code,geo_level,geo_version
Wood/FireWood,2391,27004,local,2016
Bio-Gas Fuel,25,27003,local,2016
Cow Dung,1,27003,local,2016
Electricity Fuel,5,27003,local,2016
KeroseneFuel,87,27003,local,2016
LP Gas,1694,27003,local,2016
Not Stated about Fuel,37,27003,local,2016
OthersFuel,37,27003,local,2016
Wood/FireWood,3602,27003,local,2016
Bio-Gas Fuel,23,27008,local,2016
Cow Dung,7,27008,local,2016
Electricity Fuel,2,27008,local,2016
KeroseneFuel,334,27008,local,2016
LP Gas,13696,27008,local,2016
Not Stated about Fuel,110,27008,local,2016
OthersFuel,33,27008,local,2016
Wood/FireWood,2541,27008,local,2016
Bio-Gas Fuel,8,27009,local,2016
Cow Dung,3,27009,local,2016
Electricity Fuel,2,27009,local,2016
KeroseneFuel,126,27009,local,2016
LP Gas,1376,27009,local,2016
Not Stated about Fuel,33,27009,local,2016
OthersFuel,4,27009,local,2016
Wood/FireWood,3854,27009,local,2016
Bio-Gas Fuel,5,27007,local,2016
Cow Dung,15,27007,local,2016
Electricity Fuel,21,27007,local,2016
KeroseneFuel,301,27007,local,2016
LP Gas,17542,27007,local,2016
Not Stated about Fuel,121,27007,local,2016
OthersFuel,53,27007,local,2016
Wood/FireWood,1383,27007,local,2016
Bio-Gas Fuel,14,27010,local,2016
Cow Dung,4,27010,local,2016
Electricity Fuel,11,27010,local,2016
KeroseneFuel,286,27010,local,2016
LP Gas,15672,27010,local,2016
Not Stated about Fuel,125,27010,local,2016
OthersFuel,18,27010,local,2016
Wood/FireWood,4028,27010,local,2016
Bio-Gas Fuel,4,27011,local,2016
Cow Dung,7,27011,local,2016
Electricity Fuel,6,27011,local,2016
KeroseneFuel,518,27011,local,2016
LP Gas,22803,27011,local,2016
Not Stated about Fuel,137,27011,local,2016
OthersFuel,39,27011,local,2016
Wood/FireWood,2047,27011,local,2016
Bio-Gas Fuel,83,55,district,2016
Cow Dung,46,55,district,2016
Electricity Fuel,24,55,district,2016
KeroseneFuel,306,55,district,2016
LP Gas,1061,55,district,2016
Not Stated about Fuel,430,55,district,2016
OthersFuel,52,55,district,2016
Wood/FireWood,41881,55,district,2016
Bio-Gas Fuel,0,21008,local,2016
Cow Dung,3,21008,local,2016
Electricity Fuel,1,21008,local,2016
KeroseneFuel,6,21008,local,2016
LP Gas,13,21008,local,2016
Not Stated about Fuel,25,21008,local,2016
OthersFuel,1,21008,local,2016
Wood/FireWood,3820,21008,local,2016
Bio-Gas Fuel,53,21005,local,2016
Cow Dung,8,21005,local,2016
Electricity Fuel,5,21005,local,2016
KeroseneFuel,137,21005,local,2016
LP Gas,853,21005,local,2016
Not Stated about Fuel,101,21005,local,2016
OthersFuel,38,21005,local,2016
Wood/FireWood,8904,21005,local,2016
Bio-Gas Fuel,1,21001,local,2016
Cow Dung,8,21001,local,2016
Electricity Fuel,0,21001,local,2016
KeroseneFuel,30,21001,local,2016
LP Gas,9,21001,local,2016
Not Stated about Fuel,58,21001,local,2016
OthersFuel,0,21001,local,2016
Wood/FireWood,4887,21001,local,2016
Bio-Gas Fuel,2,21002,local,2016
Cow Dung,0,21002,local,2016
Electricity Fuel,1,21002,local,2016
KeroseneFuel,23,21002,local,2016
LP Gas,37,21002,local,2016
Not Stated about Fuel,38,21002,local,2016
OthersFuel,1,21002,local,2016
Wood/FireWood,4344,21002,local,2016
Bio-Gas Fuel,1,21007,local,2016
Cow Dung,3,21007,local,2016
Electricity Fuel,1,21007,local,2016
KeroseneFuel,19,21007,local,2016
LP Gas,5,21007,local,2016
Not Stated about Fuel,25,21007,local,2016
OthersFuel,0,21007,local,2016
Wood/FireWood,3996,21007,local,2016
Bio-Gas Fuel,11,21004,local,2016
Cow Dung,6,21004,local,2016
Electricity Fuel,15,21004,local,2016
KeroseneFuel,29,21004,local,2016
LP Gas,33,21004,local,2016
Not Stated about Fuel,55,21004,local,2016
OthersFuel,8,21004,local,2016
Wood/FireWood,4771,21004,local,2016
Bio-Gas Fuel,9,21003,local,2016
Cow Dung,12,21003,local,2016
Electricity Fuel,1,21003,local,2016
KeroseneFuel,35,21003,local,2016
LP Gas,34,21003,local,2016
Not Stated about Fuel,106,21003,local,2016
OthersFuel,0,21003,local,2016
Wood/FireWood,5175,21003,local,2016
Bio-Gas Fuel,6,21006,local,2016
Cow Dung,6,21006,local,2016
Electricity Fuel,0,21006,local,2016
KeroseneFuel,27,21006,local,2016
LP Gas,77,21006,local,2016
Not Stated about Fuel,22,21006,local,2016
OthersFuel,4,21006,local,2016
Wood/FireWood,5984,21006,local,2016
Bio-Gas Fuel,1101,48,district,2016
Cow Dung,26,48,district,2016
Electricity Fuel,72,48,district,2016
KeroseneFuel,384,48,district,2016
LP Gas,3913,48,district,2016
Not Stated about Fuel,511,48,district,2016
OthersFuel,29,48,district,2016
Wood/FireWood,53158,48,district,2016
Bio-Gas Fuel,12,28009,local,2016
Cow Dung,0,28009,local,2016
Electricity Fuel,0,28009,local,2016
KeroseneFuel,57,28009,local,2016
LP Gas,22,28009,local,2016
Not Stated about Fuel,37,28009,local,2016
OthersFuel,0,28009,local,2016
Wood/FireWood,4548,28009,local,2016
Bio-Gas Fuel,641,28002,local,2016
Cow Dung,7,28002,local,2016
Electricity Fuel,48,28002,local,2016
KeroseneFuel,164,28002,local,2016
LP Gas,2930,28002,local,2016
Not Stated about Fuel,92,28002,local,2016
OthersFuel,19,28002,local,2016
Wood/FireWood,8604,28002,local,2016
Bio-Gas Fuel,20,28008,local,2016
Cow Dung,1,28008,local,2016
Electricity Fuel,0,28008,local,2016
KeroseneFuel,12,28008,local,2016
LP Gas,18,28008,local,2016
Not Stated about Fuel,26,28008,local,2016
OthersFuel,0,28008,local,2016
Wood/FireWood,3244,28008,local,2016
Bio-Gas Fuel,234,28006,local,2016
Cow Dung,12,28006,local,2016
Electricity Fuel,13,28006,local,2016
KeroseneFuel,6,28006,local,2016
LP Gas,182,28006,local,2016
Not Stated about Fuel,21,28006,local,2016
OthersFuel,1,28006,local,2016
Wood/FireWood,3160,28006,local,2016
Bio-Gas Fuel,4,28011,local,2016
Cow Dung,2,28011,local,2016
Electricity Fuel,1,28011,local,2016
KeroseneFuel,13,28011,local,2016
LP Gas,62,28011,local,2016
Not Stated about Fuel,19,28011,local,2016
OthersFuel,1,28011,local,2016
Wood/FireWood,3480,28011,local,2016
Bio-Gas Fuel,19,28012,local,2016
Cow Dung,1,28012,local,2016
Electricity Fuel,1,28012,local,2016
KeroseneFuel,9,28012,local,2016
LP Gas,20,28012,local,2016
Not Stated about Fuel,35,28012,local,2016
OthersFuel,0,28012,local,2016
Wood/FireWood,3426,28012,local,2016
Bio-Gas Fuel,2,28003,local,2016
Cow Dung,0,28003,local,2016
Electricity Fuel,0,28003,local,2016
KeroseneFuel,20,28003,local,2016
LP Gas,7,28003,local,2016
Not Stated about Fuel,43,28003,local,2016
OthersFuel,1,28003,local,2016
Wood/FireWood,4378,28003,local,2016
Bio-Gas Fuel,7,28005,local,2016
Cow Dung,0,28005,local,2016
Electricity Fuel,3,28005,local,2016
KeroseneFuel,8,28005,local,2016
LP Gas,77,28005,local,2016
Not Stated about Fuel,34,28005,local,2016
OthersFuel,0,28005,local,2016
Wood/FireWood,3211,28005,local,2016
Bio-Gas Fuel,17,28010,local,2016
Cow Dung,0,28010,local,2016
Electricity Fuel,0,28010,local,2016
KeroseneFuel,11,28010,local,2016
LP Gas,74,28010,local,2016
Not Stated about Fuel,30,28010,local,2016
OthersFuel,3,28010,local,2016
Wood/FireWood,3374,28010,local,2016
Bio-Gas Fuel,16,28007,local,2016
Cow Dung,0,28007,local,2016
Electricity Fuel,0,28007,local,2016
KeroseneFuel,12,28007,local,2016
LP Gas,115,28007,local,2016
Not Stated about Fuel,26,28007,local,2016
OthersFuel,0,28007,local,2016
Wood/FireWood,3219,28007,local,2016
Bio-Gas Fuel,110,28001,local,2016
Cow Dung,2,28001,local,2016
Electricity Fuel,3,28001,local,2016
KeroseneFuel,40,28001,local,2016
LP Gas,158,28001,local,2016
Not Stated about Fuel,73,28001,local,2016
OthersFuel,3,28001,local,2016
Wood/FireWood,7710,28001,local,2016
Bio-Gas Fuel,19,28004,local,2016
Cow Dung,1,28004,local,2016
Electricity Fuel,3,28004,local,2016
KeroseneFuel,32,28004,local,2016
LP Gas,248,28004,local,2016
Not Stated about Fuel,75,28004,local,2016
OthersFuel,1,28004,local,2016
Wood/FireWood,4804,28004,local,2016
Bio-Gas Fuel,2940,17,district,2016
Cow Dung,8,17,district,2016
Electricity Fuel,52,17,district,2016
KeroseneFuel,618,17,district,2016
LP Gas,7517,17,district,2016
Not Stated about Fuel,264,17,district,2016
OthersFuel,76,17,district,2016
Wood/FireWood,62367,17,district,2016
Bio-Gas Fuel,1,30010,local,2016
Cow Dung,0,30010,local,2016
Electricity Fuel,0,30010,local,2016
KeroseneFuel,0,30010,local,2016
LP Gas,1,30010,local,2016
Not Stated about Fuel,13,30010,local,2016
OthersFuel,0,30010,local,2016
Wood/FireWood,2119,30010,local,2016
Bio-Gas Fuel,0,30007,local,2016
Cow Dung,0,30007,local,2016
Electricity Fuel,1,30007,local,2016
KeroseneFuel,14,30007,local,2016
LP Gas,18,30007,local,2016
Not Stated about Fuel,27,30007,local,2016
OthersFuel,1,30007,local,2016
Wood/FireWood,2590,30007,local,2016
Bio-Gas Fuel,140,30004,local,2016
Cow Dung,0,30004,local,2016
Electricity Fuel,10,30004,local,2016
KeroseneFuel,37,30004,local,2016
LP Gas,541,30004,local,2016
Not Stated about Fuel,25,30004,local,2016
OthersFuel,5,30004,local,2016
Wood/FireWood,4652,30004,local,2016
Bio-Gas Fuel,579,30009,local,2016
Cow Dung,1,30009,local,2016
Electricity Fuel,6,30009,local,2016
KeroseneFuel,195,30009,local,2016
LP Gas,3387,30009,local,2016
Not Stated about Fuel,36,30009,local,2016
OthersFuel,29,30009,local,2016
Wood/FireWood,9751,30009,local,2016
Bio-Gas Fuel,333,30011,local,2016
Cow Dung,0,30011,local,2016
Electricity Fuel,3,30011,local,2016
KeroseneFuel,10,30011,local,2016
LP Gas,115,30011,local,2016
Not Stated about Fuel,31,30011,local,2016
OthersFuel,2,30011,local,2016
Wood/FireWood,4644,30011,local,2016
Bio-Gas Fuel,67,30005,local,2016
Cow Dung,0,30005,local,2016
Electricity Fuel,0,30005,local,2016
KeroseneFuel,11,30005,local,2016
LP Gas,74,30005,local,2016
Not Stated about Fuel,9,30005,local,2016
OthersFuel,2,30005,local,2016
Wood/FireWood,4701,30005,local,2016
Bio-Gas Fuel,15,30008,local,2016
Cow Dung,0,30008,local,2016
Electricity Fuel,1,30008,local,2016
KeroseneFuel,64,30008,local,2016
LP Gas,115,30008,local,2016
Not Stated about Fuel,9,30008,local,2016
OthersFuel,3,30008,local,2016
Wood/FireWood,2914,30008,local,2016
Bio-Gas Fuel,108,30003,local,2016
Cow Dung,2,30003,local,2016
Electricity Fuel,3,30003,local,2016
KeroseneFuel,43,30003,local,2016
LP Gas,881,30003,local,2016
Not Stated about Fuel,31,30003,local,2016
OthersFuel,3,30003,local,2016
Wood/FireWood,4529,30003,local,2016
Bio-Gas Fuel,763,30006,local,2016
Cow Dung,0,30006,local,2016
Electricity Fuel,2,30006,local,2016
KeroseneFuel,19,30006,local,2016
LP Gas,125,30006,local,2016
Not Stated about Fuel,14,30006,local,2016
OthersFuel,0,30006,local,2016
Wood/FireWood,4807,30006,local,2016
Bio-Gas Fuel,610,30013,local,2016
Cow Dung,1,30013,local,2016
Electricity Fuel,0,30013,local,2016
KeroseneFuel,86,30013,local,2016
LP Gas,287,30013,local,2016
Not Stated about Fuel,19,30013,local,2016
OthersFuel,6,30013,local,2016
Wood/FireWood,4346,30013,local,2016
Bio-Gas Fuel,43,30002,local,2016
Cow Dung,0,30002,local,2016
Electricity Fuel,1,30002,local,2016
KeroseneFuel,60,30002,local,2016
LP Gas,592,30002,local,2016
Not Stated about Fuel,15,30002,local,2016
OthersFuel,0,30002,local,2016
Wood/FireWood,6048,30002,local,2016
Bio-Gas Fuel,172,30012,local,2016
Cow Dung,2,30012,local,2016
Electricity Fuel,2,30012,local,2016
KeroseneFuel,34,30012,local,2016
LP Gas,571,30012,local,2016
Not Stated about Fuel,14,30012,local,2016
OthersFuel,6,30012,local,2016
Wood/FireWood,6126,30012,local,2016
Bio-Gas Fuel,109,30001,local,2016
Cow Dung,2,30001,local,2016
Electricity Fuel,23,30001,local,2016
KeroseneFuel,45,30001,local,2016
LP Gas,810,30001,local,2016
Not Stated about Fuel,21,30001,local,2016
OthersFuel,19,30001,local,2016
Wood/FireWood,5140,30001,local,2016
Bio-Gas Fuel,25307,5,province,2016
Cow Dung,88751,5,province,2016
Electricity Fuel,312,5,province,2016
KeroseneFuel,6043,5,province,2016
LP Gas,128567,5,province,2016
Not Stated about Fuel,4570,5,province,2016
OthersFuel,1775,5,province,2016
Wood/FireWood,629432,5,province,2016
Bio-Gas Fuel,244,24,district,2016
Cow Dung,26,24,district,2016
Electricity Fuel,6,24,district,2016
KeroseneFuel,197,24,district,2016
LP Gas,4394,24,district,2016
Not Stated about Fuel,160,24,district,2016
OthersFuel,16,24,district,2016
Wood/FireWood,59844,24,district,2016
Bio-Gas Fuel,45,46006,local,2016
Cow Dung,2,46006,local,2016
Electricity Fuel,1,46006,local,2016
KeroseneFuel,5,46006,local,2016
LP Gas,69,46006,local,2016
Not Stated about Fuel,7,46006,local,2016
OthersFuel,0,46006,local,2016
Wood/FireWood,3969,46006,local,2016
Bio-Gas Fuel,10,46001,local,2016
Cow Dung,0,46001,local,2016
Electricity Fuel,0,46001,local,2016
KeroseneFuel,11,46001,local,2016
LP Gas,304,46001,local,2016
Not Stated about Fuel,8,46001,local,2016
OthersFuel,0,46001,local,2016
Wood/FireWood,4788,46001,local,2016
Bio-Gas Fuel,5,46010,local,2016
Cow Dung,4,46010,local,2016
Electricity Fuel,0,46010,local,2016
KeroseneFuel,81,46010,local,2016
LP Gas,2932,46010,local,2016
Not Stated about Fuel,29,46010,local,2016
OthersFuel,6,46010,local,2016
Wood/FireWood,5296,46010,local,2016
Bio-Gas Fuel,1,46008,local,2016
Cow Dung,3,46008,local,2016
Electricity Fuel,0,46008,local,2016
KeroseneFuel,12,46008,local,2016
LP Gas,19,46008,local,2016
Not Stated about Fuel,23,46008,local,2016
OthersFuel,0,46008,local,2016
Wood/FireWood,4492,46008,local,2016
Bio-Gas Fuel,22,46011,local,2016
Cow Dung,1,46011,local,2016
Electricity Fuel,1,46011,local,2016
KeroseneFuel,12,46011,local,2016
LP Gas,310,46011,local,2016
Not Stated about Fuel,12,46011,local,2016
OthersFuel,4,46011,local,2016
Wood/FireWood,4341,46011,local,2016
Bio-Gas Fuel,60,46012,local,2016
Cow Dung,1,46012,local,2016
Electricity Fuel,3,46012,local,2016
KeroseneFuel,13,46012,local,2016
LP Gas,195,46012,local,2016
Not Stated about Fuel,15,46012,local,2016
OthersFuel,0,46012,local,2016
Wood/FireWood,5239,46012,local,2016
Bio-Gas Fuel,2,46003,local,2016
Cow Dung,4,46003,local,2016
Electricity Fuel,0,46003,local,2016
KeroseneFuel,19,46003,local,2016
LP Gas,32,46003,local,2016
Not Stated about Fuel,6,46003,local,2016
OthersFuel,0,46003,local,2016
Wood/FireWood,5244,46003,local,2016
Bio-Gas Fuel,21,46002,local,2016
Cow Dung,0,46002,local,2016
Electricity Fuel,0,46002,local,2016
KeroseneFuel,6,46002,local,2016
LP Gas,125,46002,local,2016
Not Stated about Fuel,9,46002,local,2016
OthersFuel,4,46002,local,2016
Wood/FireWood,5150,46002,local,2016
Bio-Gas Fuel,43,46004,local,2016
Cow Dung,0,46004,local,2016
Electricity Fuel,0,46004,local,2016
KeroseneFuel,3,46004,local,2016
LP Gas,134,46004,local,2016
Not Stated about Fuel,6,46004,local,2016
OthersFuel,0,46004,local,2016
Wood/FireWood,5080,46004,local,2016
Bio-Gas Fuel,3,46007,local,2016
Cow Dung,1,46007,local,2016
Electricity Fuel,0,46007,local,2016
KeroseneFuel,6,46007,local,2016
LP Gas,31,46007,local,2016
Not Stated about Fuel,19,46007,local,2016
OthersFuel,1,46007,local,2016
Wood/FireWood,4796,46007,local,2016
Bio-Gas Fuel,27,46009,local,2016
Cow Dung,5,46009,local,2016
Electricity Fuel,1,46009,local,2016
KeroseneFuel,19,46009,local,2016
LP Gas,219,46009,local,2016
Not Stated about Fuel,22,46009,local,2016
OthersFuel,1,46009,local,2016
Wood/FireWood,6781,46009,local,2016
Bio-Gas Fuel,5,46005,local,2016
Cow Dung,5,46005,local,2016
Electricity Fuel,0,46005,local,2016
KeroseneFuel,10,46005,local,2016
LP Gas,24,46005,local,2016
Not Stated about Fuel,4,46005,local,2016
OthersFuel,0,46005,local,2016
Wood/FireWood,4668,46005,local,2016
Bio-Gas Fuel,6,59,district,2016
Cow Dung,24,59,district,2016
Electricity Fuel,1,59,district,2016
KeroseneFuel,10,59,district,2016
LP Gas,5,59,district,2016
Not Stated about Fuel,27,59,district,2016
OthersFuel,1,59,district,2016
Wood/FireWood,11128,59,district,2016
Bio-Gas Fuel,1,77001,local,2016
Cow Dung,7,77001,local,2016
Electricity Fuel,1,77001,local,2016
KeroseneFuel,4,77001,local,2016
LP Gas,0,77001,local,2016
Not Stated about Fuel,15,77001,local,2016
OthersFuel,1,77001,local,2016
Wood/FireWood,3806,77001,local,2016
Bio-Gas Fuel,3,77002,local,2016
Cow Dung,13,77002,local,2016
Electricity Fuel,0,77002,local,2016
KeroseneFuel,3,77002,local,2016
LP Gas,2,77002,local,2016
Not Stated about Fuel,8,77002,local,2016
OthersFuel,0,77002,local,2016
Wood/FireWood,3832,77002,local,2016
Bio-Gas Fuel,2,77003,local,2016
Cow Dung,4,77003,local,2016
Electricity Fuel,0,77003,local,2016
KeroseneFuel,3,77003,local,2016
LP Gas,3,77003,local,2016
Not Stated about Fuel,4,77003,local,2016
OthersFuel,0,77003,local,2016
Wood/FireWood,3490,77003,local,2016
Bio-Gas Fuel,375,54,district,2016
Cow Dung,32,54,district,2016
Electricity Fuel,40,54,district,2016
KeroseneFuel,110,54,district,2016
LP Gas,1596,54,district,2016
Not Stated about Fuel,141,54,district,2016
OthersFuel,36,54,district,2016
Wood/FireWood,45386,54,district,2016
Bio-Gas Fuel,43,52001,local,2016
Cow Dung,0,52001,local,2016
Electricity Fuel,0,52001,local,2016
KeroseneFuel,1,52001,local,2016
LP Gas,14,52001,local,2016
Not Stated about Fuel,5,52001,local,2016
OthersFuel,0,52001,local,2016
Wood/FireWood,4587,52001,local,2016
Bio-Gas Fuel,10,52004,local,2016
Cow Dung,2,52004,local,2016
Electricity Fuel,1,52004,local,2016
KeroseneFuel,16,52004,local,2016
LP Gas,450,52004,local,2016
Not Stated about Fuel,9,52004,local,2016
OthersFuel,10,52004,local,2016
Wood/FireWood,3622,52004,local,2016
Bio-Gas Fuel,3,52003,local,2016
Cow Dung,5,52003,local,2016
Electricity Fuel,0,52003,local,2016
KeroseneFuel,17,52003,local,2016
LP Gas,68,52003,local,2016
Not Stated about Fuel,7,52003,local,2016
OthersFuel,0,52003,local,2016
Wood/FireWood,5768,52003,local,2016
Bio-Gas Fuel,8,52005,local,2016
Cow Dung,2,52005,local,2016
Electricity Fuel,26,52005,local,2016
KeroseneFuel,2,52005,local,2016
LP Gas,45,52005,local,2016
Not Stated about Fuel,18,52005,local,2016
OthersFuel,0,52005,local,2016
Wood/FireWood,2967,52005,local,2016
Bio-Gas Fuel,29,52008,local,2016
Cow Dung,0,52008,local,2016
Electricity Fuel,2,52008,local,2016
KeroseneFuel,1,52008,local,2016
LP Gas,63,52008,local,2016
Not Stated about Fuel,9,52008,local,2016
OthersFuel,2,52008,local,2016
Wood/FireWood,3378,52008,local,2016
Bio-Gas Fuel,2,52002,local,2016
Cow Dung,7,52002,local,2016
Electricity Fuel,1,52002,local,2016
KeroseneFuel,9,52002,local,2016
LP Gas,18,52002,local,2016
Not Stated about Fuel,18,52002,local,2016
OthersFuel,3,52002,local,2016
Wood/FireWood,4727,52002,local,2016
Bio-Gas Fuel,29,52009,local,2016
Cow Dung,5,52009,local,2016
Electricity Fuel,3,52009,local,2016
KeroseneFuel,10,52009,local,2016
LP Gas,143,52009,local,2016
Not Stated about Fuel,21,52009,local,2016
OthersFuel,12,52009,local,2016
Wood/FireWood,6745,52009,local,2016
Bio-Gas Fuel,244,52007,local,2016
Cow Dung,7,52007,local,2016
Electricity Fuel,7,52007,local,2016
KeroseneFuel,41,52007,local,2016
LP Gas,758,52007,local,2016
Not Stated about Fuel,41,52007,local,2016
OthersFuel,8,52007,local,2016
Wood/FireWood,7858,52007,local,2016
Bio-Gas Fuel,7,52006,local,2016
Cow Dung,4,52006,local,2016
Electricity Fuel,0,52006,local,2016
KeroseneFuel,13,52006,local,2016
LP Gas,37,52006,local,2016
Not Stated about Fuel,13,52006,local,2016
OthersFuel,1,52006,local,2016
Wood/FireWood,5734,52006,local,2016
Bio-Gas Fuel,5171,60,district,2016
Cow Dung,42519,60,district,2016
Electricity Fuel,43,60,district,2016
KeroseneFuel,2005,60,district,2016
LP Gas,56066,60,district,2016
Not Stated about Fuel,1254,60,district,2016
OthersFuel,513,60,district,2016
Wood/FireWood,56264,60,district,2016
Bio-Gas Fuel,45,49010,local,2016
Cow Dung,4166,49010,local,2016
Electricity Fuel,5,49010,local,2016
KeroseneFuel,72,49010,local,2016
LP Gas,207,49010,local,2016
Not Stated about Fuel,40,49010,local,2016
OthersFuel,78,49010,local,2016
Wood/FireWood,1044,49010,local,2016
Bio-Gas Fuel,220,49004,local,2016
Cow Dung,273,49004,local,2016
Electricity Fuel,1,49004,local,2016
KeroseneFuel,5,49004,local,2016
LP Gas,701,49004,local,2016
Not Stated about Fuel,14,49004,local,2016
OthersFuel,14,49004,local,2016
Wood/FireWood,5856,49004,local,2016
Bio-Gas Fuel,18,49012,local,2016
Cow Dung,4515,49012,local,2016
Electricity Fuel,2,49012,local,2016
KeroseneFuel,103,49012,local,2016
LP Gas,54,49012,local,2016
Not Stated about Fuel,72,49012,local,2016
OthersFuel,0,49012,local,2016
Wood/FireWood,356,49012,local,2016
Bio-Gas Fuel,635,49001,local,2016
Cow Dung,69,49001,local,2016
Electricity Fuel,5,49001,local,2016
KeroseneFuel,469,49001,local,2016
LP Gas,25107,49001,local,2016
Not Stated about Fuel,390,49001,local,2016
OthersFuel,65,49001,local,2016
Wood/FireWood,7357,49001,local,2016
Bio-Gas Fuel,612,49015,local,2016
Cow Dung,1244,49015,local,2016
Electricity Fuel,1,49015,local,2016
KeroseneFuel,41,49015,local,2016
LP Gas,950,49015,local,2016
Not Stated about Fuel,22,49015,local,2016
OthersFuel,7,49015,local,2016
