Agricultural land use area,total,geo_code,geo_level,geo_version
Temporary Crops,29082,24010,local,2016
Temporary Fallow,968,24010,local,2016
Temporary Meadows,356,24010,local,2016
Other Land,1636,24010,local,2016
Ponds,45,24010,local,2016
Woodland And Forest,3121,24010,local,2016
Arable Land,30407,24008,local,2016
Meadows And Pasture,1350,24008,local,2016
Permanent Crops,3149,24008,local,2016
Temporary Crops,29082,24008,local,2016
Temporary Fallow,968,24008,local,2016
Temporary Meadows,356,24008,local,2016
Other Land,1636,24008,local,2016
Ponds,45,24008,local,2016
Woodland And Forest,3121,24008,local,2016
Arable Land,30407,24002,local,2016
Meadows And Pasture,1350,24002,local,2016
Permanent Crops,3149,24002,local,2016
Temporary Crops,29082,24002,local,2016
Temporary Fallow,968,24002,local,2016
Temporary Meadows,356,24002,local,2016
Other Land,1636,24002,local,2016
Ponds,45,24002,local,2016
Woodland And Forest,3121,24002,local,2016
Arable Land,30407,24012,local,2016
Meadows And Pasture,1350,24012,local,2016
Permanent Crops,3149,24012,local,2016
Temporary Crops,29082,24012,local,2016
Temporary Fallow,968,24012,local,2016
Temporary Meadows,356,24012,local,2016
Other Land,1636,24012,local,2016
Ponds,45,24012,local,2016
Woodland And Forest,3121,24012,local,2016
Arable Land,30407,24005,local,2016
Meadows And Pasture,1350,24005,local,2016
Permanent Crops,3149,24005,local,2016
Temporary Crops,29082,24005,local,2016
Temporary Fallow,968,24005,local,2016
Temporary Meadows,356,24005,local,2016
Other Land,1636,24005,local,2016
Ponds,45,24005,local,2016
Woodland And Forest,3121,24005,local,2016
Arable Land,30407,24006,local,2016
Meadows And Pasture,1350,24006,local,2016
Permanent Crops,3149,24006,local,2016
Temporary Crops,29082,24006,local,2016
Temporary Fallow,968,24006,local,2016
Temporary Meadows,356,24006,local,2016
Other Land,1636,24006,local,2016
Ponds,45,24006,local,2016
Woodland And Forest,3121,24006,local,2016
Arable Land,30407,24009,local,2016
Meadows And Pasture,1350,24009,local,2016
Permanent Crops,3149,24009,local,2016
Temporary Crops,29082,24009,local,2016
Temporary Fallow,968,24009,local,2016
Temporary Meadows,356,24009,local,2016
Other Land,1636,24009,local,2016
Ponds,45,24009,local,2016
Woodland And Forest,3121,24009,local,2016
Arable Land,30407,24004,local,2016
Meadows And Pasture,1350,24004,local,2016
Permanent Crops,3149,24004,local,2016
Temporary Crops,29082,24004,local,2016
Temporary Fallow,968,24004,local,2016
Temporary Meadows,356,24004,local,2016
Other Land,1636,24004,local,2016
Ponds,45,24004,local,2016
Woodland And Forest,3121,24004,local,2016
Arable Land,30407,24013,local,2016
Meadows And Pasture,1350,24013,local,2016
Permanent Crops,3149,24013,local,2016
Temporary Crops,29082,24013,local,2016
Temporary Fallow,968,24013,local,2016
Temporary Meadows,356,24013,local,2016
Other Land,1636,24013,local,2016
Ponds,45,24013,local,2016
Woodland And Forest,3121,24013,local,2016
Arable Land,30407,24003,local,2016
Meadows And Pasture,1350,24003,local,2016
Permanent Crops,3149,24003,local,2016
Temporary Crops,29082,24003,local,2016
