toilet type,total,geo_code,geo_level
Flush Toilet Septic Tank,3338,27011,local
Not Stated about Toilet,137,27011,local
Ordinary Toilet,1854,27011,local
Without Tiolet,200,27011,local
Flush toilet (sewerage),719,55,district
Flush Toilet Septic Tank,16530,55,district
Not Stated about Toilet,421,55,district
Ordinary Toilet,10166,55,district
Without Tiolet,16047,55,district
Flush toilet (sewerage),64,21008,local
Flush Toilet Septic Tank,1511,21008,local
Not Stated about Toilet,25,21008,local
Ordinary Toilet,1204,21008,local
Without Tiolet,1065,21008,local
Flush toilet (sewerage),106,21005,local
Flush Toilet Septic Tank,3903,21005,local
Not Stated about Toilet,100,21005,local
Ordinary Toilet,3151,21005,local
Without Tiolet,2839,21005,local
Flush toilet (sewerage),44,21001,local
Flush Toilet Septic Tank,1152,21001,local
Not Stated about Toilet,56,21001,local
Ordinary Toilet,840,21001,local
Without Tiolet,2901,21001,local
Flush toilet (sewerage),50,21002,local
Flush Toilet Septic Tank,2109,21002,local
Not Stated about Toilet,33,21002,local
Ordinary Toilet,784,21002,local
Without Tiolet,1470,21002,local
Flush toilet (sewerage),97,21007,local
Flush Toilet Septic Tank,1405,21007,local
Not Stated about Toilet,24,21007,local
Ordinary Toilet,738,21007,local
Without Tiolet,1786,21007,local
Flush toilet (sewerage),32,21004,local
Flush Toilet Septic Tank,2422,21004,local
Not Stated about Toilet,55,21004,local
Ordinary Toilet,983,21004,local
Without Tiolet,1436,21004,local
Flush toilet (sewerage),240,21003,local
Flush Toilet Septic Tank,1848,21003,local
Not Stated about Toilet,106,21003,local
Ordinary Toilet,765,21003,local
Without Tiolet,2413,21003,local
Flush toilet (sewerage),86,21006,local
Flush Toilet Septic Tank,2180,21006,local
Not Stated about Toilet,22,21006,local
Ordinary Toilet,1701,21006,local
Without Tiolet,2137,21006,local
Flush toilet (sewerage),1003,48,district
Flush Toilet Septic Tank,21347,48,district
Not Stated about Toilet,504,48,district
Ordinary Toilet,12267,48,district
Without Tiolet,24073,48,district
Flush toilet (sewerage),27,28009,local
Flush Toilet Septic Tank,869,28009,local
Not Stated about Toilet,37,28009,local
Ordinary Toilet,1217,28009,local
Without Tiolet,2526,28009,local
Flush toilet (sewerage),313,28002,local
Flush Toilet Septic Tank,7813,28002,local
Not Stated about Toilet,93,28002,local
Ordinary Toilet,1850,28002,local
Without Tiolet,2436,28002,local
Flush toilet (sewerage),49,28008,local
Flush Toilet Septic Tank,1300,28008,local
Not Stated about Toilet,26,28008,local
Ordinary Toilet,741,28008,local
Without Tiolet,1205,28008,local
Flush toilet (sewerage),27,28006,local
Flush Toilet Septic Tank,1763,28006,local
Not Stated about Toilet,21,28006,local
Ordinary Toilet,915,28006,local
Without Tiolet,903,28006,local
Flush toilet (sewerage),26,28011,local
Flush Toilet Septic Tank,939,28011,local
Not Stated about Toilet,18,28011,local
Ordinary Toilet,570,28011,local
Without Tiolet,2029,28011,local
Flush toilet (sewerage),23,28012,local
Flush Toilet Septic Tank,1256,28012,local
Not Stated about Toilet,33,28012,local
Ordinary Toilet,898,28012,local
Without Tiolet,1301,28012,local
Flush toilet (sewerage),28,28003,local
Flush Toilet Septic Tank,647,28003,local
Not Stated about Toilet,43,28003,local
Ordinary Toilet,1216,28003,local
Without Tiolet,2517,28003,local
Flush toilet (sewerage),35,28005,local
Flush Toilet Septic Tank,991,28005,local
Not Stated about Toilet,35,28005,local
Ordinary Toilet,582,28005,local
Without Tiolet,1697,28005,local
Flush toilet (sewerage),23,28010,local
Flush Toilet Septic Tank,989,28010,local
Not Stated about Toilet,30,28010,local
Ordinary Toilet,818,28010,local
Without Tiolet,1649,28010,local
Flush toilet (sewerage),145,28007,local
Flush Toilet Septic Tank,787,28007,local
Not Stated about Toilet,23,28007,local
Ordinary Toilet,850,28007,local
Without Tiolet,1583,28007,local
Flush toilet (sewerage),100,28001,local
Flush Toilet Septic Tank,2824,28001,local
Not Stated about Toilet,72,28001,local
Ordinary Toilet,1669,28001,local
Without Tiolet,3434,28001,local
Flush toilet (sewerage),207,28004,local
Flush Toilet Septic Tank,1169,28004,local
Not Stated about Toilet,73,28004,local
Ordinary Toilet,941,28004,local
Without Tiolet,2793,28004,local
Flush toilet (sewerage),200,17,district
Flush Toilet Septic Tank,34116,17,district
Not Stated about Toilet,260,17,district
Ordinary Toilet,17388,17,district
Without Tiolet,21878,17,district
Flush toilet (sewerage),4,30010,local
Flush Toilet Septic Tank,174,30010,local
Not Stated about Toilet,13,30010,local
Ordinary Toilet,514,30010,local
Without Tiolet,1429,30010,local
Flush toilet (sewerage),1,30007,local
Flush Toilet Septic Tank,487,30007,local
Not Stated about Toilet,26,30007,local
Ordinary Toilet,1073,30007,local
Without Tiolet,1064,30007,local
Flush toilet (sewerage),55,30004,local
Flush Toilet Septic Tank,2148,30004,local
Not Stated about Toilet,25,30004,local
Ordinary Toilet,991,30004,local
Without Tiolet,2191,30004,local
Flush toilet (sewerage),4,30009,local
Flush Toilet Septic Tank,8645,30009,local
Not Stated about Toilet,37,30009,local
Ordinary Toilet,3015,30009,local
Without Tiolet,2283,30009,local
Flush toilet (sewerage),0,30011,local
Flush Toilet Septic Tank,2480,30011,local
Not Stated about Toilet,31,30011,local
Ordinary Toilet,1166,30011,local
Without Tiolet,1461,30011,local
Flush toilet (sewerage),5,30005,local
Flush Toilet Septic Tank,1977,30005,local
Not Stated about Toilet,9,30005,local
Ordinary Toilet,1276,30005,local
Without Tiolet,1597,30005,local
Flush toilet (sewerage),7,30008,local
Flush Toilet Septic Tank,1331,30008,local
Not Stated about Toilet,8,30008,local
Ordinary Toilet,984,30008,local
Without Tiolet,791,30008,local
Flush toilet (sewerage),29,30003,local
Flush Toilet Septic Tank,2410,30003,local
Not Stated about Toilet,30,30003,local
Ordinary Toilet,886,30003,local
Without Tiolet,2245,30003,local
Flush toilet (sewerage),6,30006,local
Flush Toilet Septic Tank,2629,30006,local
Not Stated about Toilet,14,30006,local
Ordinary Toilet,2130,30006,local
Without Tiolet,951,30006,local
Flush toilet (sewerage),19,30013,local
Flush Toilet Septic Tank,2820,30013,local
Not Stated about Toilet,17,30013,local
Ordinary Toilet,1061,30013,local
Without Tiolet,1438,30013,local
Flush toilet (sewerage),26,30002,local
Flush Toilet Septic Tank,3190,30002,local
Not Stated about Toilet,15,30002,local
Ordinary Toilet,1528,30002,local
Without Tiolet,2000,30002,local
Flush toilet (sewerage),25,30012,local
Flush Toilet Septic Tank,2840,30012,local
Not Stated about Toilet,14,30012,local
Ordinary Toilet,1523,30012,local
Without Tiolet,2525,30012,local
Flush toilet (sewerage),19,30001,local
Flush Toilet Septic Tank,2985,30001,local
Not Stated about Toilet,21,30001,local
Ordinary Toilet,1241,30001,local
Without Tiolet,1903,30001,local
Flush toilet (sewerage),13756,5,province
Flush Toilet Septic Tank,309819,5,province
Not Stated about Toilet,4584,5,province
Ordinary Toilet,158777,5,province
Without Tiolet,397821,5,province
Flush toilet (sewerage),625,24,district
Flush Toilet Septic Tank,33983,24,district
Not Stated about Toilet,152,24,district
Ordinary Toilet,18214,24,district
Without Tiolet,11913,24,district
Flush toilet (sewerage),43,46006,local
Flush Toilet Septic Tank,1867,46006,local
Not Stated about Toilet,7,46006,local
Ordinary Toilet,1295,46006,local
Without Tiolet,886,46006,local
Flush toilet (sewerage),53,46001,local
Flush Toilet Septic Tank,2464,46001,local
Not Stated about Toilet,8,46001,local
Ordinary Toilet,1488,46001,local
Without Tiolet,1108,46001,local
Flush toilet (sewerage),146,46010,local
Flush Toilet Septic Tank,5349,46010,local
Not Stated about Toilet,27,46010,local
Ordinary Toilet,2194,46010,local
Without Tiolet,637,46010,local
Flush toilet (sewerage),25,46008,local
Flush Toilet Septic Tank,2530,46008,local
Not Stated about Toilet,23,46008,local
Ordinary Toilet,1013,46008,local
Without Tiolet,959,46008,local
Flush toilet (sewerage),63,46011,local
Flush Toilet Septic Tank,2604,46011,local
Not Stated about Toilet,12,46011,local
Ordinary Toilet,1297,46011,local
Without Tiolet,727,46011,local
Flush toilet (sewerage),78,46012,local
Flush Toilet Septic Tank,3253,46012,local
Not Stated about Toilet,11,46012,local
Ordinary Toilet,1312,46012,local
Without Tiolet,872,46012,local
Flush toilet (sewerage),49,46003,local
Flush Toilet Septic Tank,2623,46003,local
Not Stated about Toilet,6,46003,local
Ordinary Toilet,1549,46003,local
Without Tiolet,1080,46003,local
Flush toilet (sewerage),30,46002,local
Flush Toilet Septic Tank,2768,46002,local
Not Stated about Toilet,10,46002,local
Ordinary Toilet,1468,46002,local
Without Tiolet,1039,46002,local
Flush toilet (sewerage),33,46004,local
Flush Toilet Septic Tank,2417,46004,local
Not Stated about Toilet,4,46004,local
Ordinary Toilet,1837,46004,local
Without Tiolet,975,46004,local
Flush toilet (sewerage),15,46007,local
Flush Toilet Septic Tank,2627,46007,local
Not Stated about Toilet,18,46007,local
Ordinary Toilet,877,46007,local
Without Tiolet,1320,46007,local
Flush toilet (sewerage),70,46009,local
Flush Toilet Septic Tank,3107,46009,local
Not Stated about Toilet,22,46009,local
Ordinary Toilet,2587,46009,local
Without Tiolet,1289,46009,local
Flush toilet (sewerage),20,46005,local
Flush Toilet Septic Tank,2374,46005,local
Not Stated about Toilet,4,46005,local
Ordinary Toilet,1297,46005,local
Without Tiolet,1021,46005,local
Flush toilet (sewerage),99,59,district
Flush Toilet Septic Tank,805,59,district
Not Stated about Toilet,27,59,district
Ordinary Toilet,1720,59,district
Without Tiolet,8551,59,district
Flush toilet (sewerage),32,77001,local
Flush Toilet Septic Tank,103,77001,local
Not Stated about Toilet,15,77001,local
Ordinary Toilet,366,77001,local
Without Tiolet,3319,77001,local
Flush toilet (sewerage),22,77002,local
Flush Toilet Septic Tank,63,77002,local
Not Stated about Toilet,8,77002,local
Ordinary Toilet,303,77002,local
Without Tiolet,3465,77002,local
Flush toilet (sewerage),45,77003,local
