outer wall type,total,geo_code,geo_level
Not Stated about Wall,527,21003,local
Other Type Wall,28,21003,local
Unbaked Bricks,36,21003,local
Wood/Planks,262,21003,local
BambooWall,158,21006,local
Cement Bonded Bricks/Stone Wall,1389,21006,local
Mud Bonded Bricks/Stone Wall,41483,21006,local
Not Stated about Wall,527,21006,local
Other Type Wall,28,21006,local
Unbaked Bricks,36,21006,local
Wood/Planks,262,21006,local
BambooWall,82,48,district
Cement Bonded Bricks/Stone Wall,4019,48,district
Mud Bonded Bricks/Stone Wall,53975,48,district
Not Stated about Wall,662,48,district
Other Type Wall,24,48,district
Unbaked Bricks,238,48,district
Wood/Planks,194,48,district
BambooWall,82,28009,local
Cement Bonded Bricks/Stone Wall,4019,28009,local
Mud Bonded Bricks/Stone Wall,53975,28009,local
Not Stated about Wall,662,28009,local
Other Type Wall,24,28009,local
Unbaked Bricks,238,28009,local
Wood/Planks,194,28009,local
BambooWall,82,28002,local
Cement Bonded Bricks/Stone Wall,4019,28002,local
Mud Bonded Bricks/Stone Wall,53975,28002,local
Not Stated about Wall,662,28002,local
Other Type Wall,24,28002,local
Unbaked Bricks,238,28002,local
Wood/Planks,194,28002,local
BambooWall,82,28008,local
Cement Bonded Bricks/Stone Wall,4019,28008,local
Mud Bonded Bricks/Stone Wall,53975,28008,local
Not Stated about Wall,662,28008,local
Other Type Wall,24,28008,local
Unbaked Bricks,238,28008,local
Wood/Planks,194,28008,local
BambooWall,82,28006,local
Cement Bonded Bricks/Stone Wall,4019,28006,local
Mud Bonded Bricks/Stone Wall,53975,28006,local
Not Stated about Wall,662,28006,local
Other Type Wall,24,28006,local
Unbaked Bricks,238,28006,local
Wood/Planks,194,28006,local
BambooWall,82,28011,local
Cement Bonded Bricks/Stone Wall,4019,28011,local
Mud Bonded Bricks/Stone Wall,53975,28011,local
Not Stated about Wall,662,28011,local
Other Type Wall,24,28011,local
Unbaked Bricks,238,28011,local
Wood/Planks,194,28011,local
BambooWall,82,28012,local
Cement Bonded Bricks/Stone Wall,4019,28012,local
Mud Bonded Bricks/Stone Wall,53975,28012,local
Not Stated about Wall,662,28012,local
Other Type Wall,24,28012,local
Unbaked Bricks,238,28012,local
Wood/Planks,194,28012,local
BambooWall,82,28003,local
Cement Bonded Bricks/Stone Wall,4019,28003,local
Mud Bonded Bricks/Stone Wall,53975,28003,local
Not Stated about Wall,662,28003,local
Other Type Wall,24,28003,local
Unbaked Bricks,238,28003,local
Wood/Planks,194,28003,local
BambooWall,82,28005,local
Cement Bonded Bricks/Stone Wall,4019,28005,local
Mud Bonded Bricks/Stone Wall,53975,28005,local
Not Stated about Wall,662,28005,local
Other Type Wall,24,28005,local
Unbaked Bricks,238,28005,local
Wood/Planks,194,28005,local
BambooWall,82,28010,local
Cement Bonded Bricks/Stone Wall,4019,28010,local
Mud Bonded Bricks/Stone Wall,53975,28010,local
Not Stated about Wall,662,28010,local
Other Type Wall,24,28010,local
Unbaked Bricks,238,28010,local
Wood/Planks,194,28010,local
BambooWall,82,28007,local
Cement Bonded Bricks/Stone Wall,4019,28007,local
Mud Bonded Bricks/Stone Wall,53975,28007,local
Not Stated about Wall,662,28007,local
Other Type Wall,24,28007,local
Unbaked Bricks,238,28007,local
Wood/Planks,194,28007,local
BambooWall,82,28001,local
Cement Bonded Bricks/Stone Wall,4019,28001,local
Mud Bonded Bricks/Stone Wall,53975,28001,local
Not Stated about Wall,662,28001,local
Other Type Wall,24,28001,local
Unbaked Bricks,238,28001,local
Wood/Planks,194,28001,local
BambooWall,82,28004,local
Cement Bonded Bricks/Stone Wall,4019,28004,local
Mud Bonded Bricks/Stone Wall,53975,28004,local
Not Stated about Wall,662,28004,local
Other Type Wall,24,28004,local
Unbaked Bricks,238,28004,local
Wood/Planks,194,28004,local
BambooWall,806,17,district
Cement Bonded Bricks/Stone Wall,8538,17,district
Mud Bonded Bricks/Stone Wall,62986,17,district
Not Stated about Wall,496,17,district
Other Type Wall,176,17,district
Unbaked Bricks,10,17,district
Wood/Planks,830,17,district
BambooWall,806,30010,local
Cement Bonded Bricks/Stone Wall,8538,30010,local
Mud Bonded Bricks/Stone Wall,62986,30010,local
Not Stated about Wall,496,30010,local
Other Type Wall,176,30010,local
Unbaked Bricks,10,30010,local
Wood/Planks,830,30010,local
BambooWall,806,30007,local
Cement Bonded Bricks/Stone Wall,8538,30007,local
Mud Bonded Bricks/Stone Wall,62986,30007,local
Not Stated about Wall,496,30007,local
Other Type Wall,176,30007,local
Unbaked Bricks,10,30007,local
Wood/Planks,830,30007,local
BambooWall,806,30004,local
Cement Bonded Bricks/Stone Wall,8538,30004,local
Mud Bonded Bricks/Stone Wall,62986,30004,local
Not Stated about Wall,496,30004,local
Other Type Wall,176,30004,local
Unbaked Bricks,10,30004,local
Wood/Planks,830,30004,local
BambooWall,806,30009,local
Cement Bonded Bricks/Stone Wall,8538,30009,local
Mud Bonded Bricks/Stone Wall,62986,30009,local
Not Stated about Wall,496,30009,local
Other Type Wall,176,30009,local
Unbaked Bricks,10,30009,local
Wood/Planks,830,30009,local
BambooWall,806,30011,local
Cement Bonded Bricks/Stone Wall,8538,30011,local
Mud Bonded Bricks/Stone Wall,62986,30011,local
Not Stated about Wall,496,30011,local
Other Type Wall,176,30011,local
Unbaked Bricks,10,30011,local
Wood/Planks,830,30011,local
BambooWall,806,30005,local
Cement Bonded Bricks/Stone Wall,8538,30005,local
Mud Bonded Bricks/Stone Wall,62986,30005,local
Not Stated about Wall,496,30005,local
Other Type Wall,176,30005,local
Unbaked Bricks,10,30005,local
Wood/Planks,830,30005,local
BambooWall,806,30008,local
Cement Bonded Bricks/Stone Wall,8538,30008,local
Mud Bonded Bricks/Stone Wall,62986,30008,local
Not Stated about Wall,496,30008,local
Other Type Wall,176,30008,local
Unbaked Bricks,10,30008,local
Wood/Planks,830,30008,local
BambooWall,806,30003,local
Cement Bonded Bricks/Stone Wall,8538,30003,local
Mud Bonded Bricks/Stone Wall,62986,30003,local
Not Stated about Wall,496,30003,local
Other Type Wall,176,30003,local
Unbaked Bricks,10,30003,local
Wood/Planks,830,30003,local
BambooWall,806,30006,local
Cement Bonded Bricks/Stone Wall,8538,30006,local
Mud Bonded Bricks/Stone Wall,62986,30006,local
Not Stated about Wall,496,30006,local
Other Type Wall,176,30006,local
Unbaked Bricks,10,30006,local
Wood/Planks,830,30006,local
BambooWall,806,30013,local
Cement Bonded Bricks/Stone Wall,8538,30013,local
Mud Bonded Bricks/Stone Wall,62986,30013,local
Not Stated about Wall,496,30013,local
Other Type Wall,176,30013,local
Unbaked Bricks,10,30013,local
Wood/Planks,830,30013,local
BambooWall,806,30002,local
Cement Bonded Bricks/Stone Wall,8538,30002,local
Mud Bonded Bricks/Stone Wall,62986,30002,local
Not Stated about Wall,496,30002,local
Other Type Wall,176,30002,local
Unbaked Bricks,10,30002,local
Wood/Planks,830,30002,local
BambooWall,806,30012,local
Cement Bonded Bricks/Stone Wall,8538,30012,local
Mud Bonded Bricks/Stone Wall,62986,30012,local
Not Stated about Wall,496,30012,local
Other Type Wall,176,30012,local
Unbaked Bricks,10,30012,local
Wood/Planks,830,30012,local
BambooWall,806,30001,local
Cement Bonded Bricks/Stone Wall,8538,30001,local
Mud Bonded Bricks/Stone Wall,62986,30001,local
Not Stated about Wall,496,30001,local
Other Type Wall,176,30001,local
Unbaked Bricks,10,30001,local
Wood/Planks,830,30001,local
BambooWall,69919,5,province
Cement Bonded Bricks/Stone Wall,238846,5,province
Mud Bonded Bricks/Stone Wall,435200,5,province
Not Stated about Wall,7905,5,province
Other Type Wall,61704,5,province
Unbaked Bricks,44317,5,province
Wood/Planks,26866,5,province
BambooWall,1151,24,district
Cement Bonded Bricks/Stone Wall,4824,24,district
Mud Bonded Bricks/Stone Wall,58328,24,district
Not Stated about Wall,228,24,district
Other Type Wall,29,24,district
Unbaked Bricks,7,24,district
Wood/Planks,320,24,district
BambooWall,1151,46006,local
Cement Bonded Bricks/Stone Wall,4824,46006,local
Mud Bonded Bricks/Stone Wall,58328,46006,local
Not Stated about Wall,228,46006,local
Other Type Wall,29,46006,local
Unbaked Bricks,7,46006,local
Wood/Planks,320,46006,local
BambooWall,1151,46001,local
Cement Bonded Bricks/Stone Wall,4824,46001,local
Mud Bonded Bricks/Stone Wall,58328,46001,local
Not Stated about Wall,228,46001,local
Other Type Wall,29,46001,local
Unbaked Bricks,7,46001,local
Wood/Planks,320,46001,local
BambooWall,1151,46010,local
Cement Bonded Bricks/Stone Wall,4824,46010,local
Mud Bonded Bricks/Stone Wall,58328,46010,local
Not Stated about Wall,228,46010,local
Other Type Wall,29,46010,local
Unbaked Bricks,7,46010,local
Wood/Planks,320,46010,local
BambooWall,1151,46008,local
Cement Bonded Bricks/Stone Wall,4824,46008,local
Mud Bonded Bricks/Stone Wall,58328,46008,local
Not Stated about Wall,228,46008,local
Other Type Wall,29,46008,local
Unbaked Bricks,7,46008,local
Wood/Planks,320,46008,local
BambooWall,1151,46011,local
Cement Bonded Bricks/Stone Wall,4824,46011,local
Mud Bonded Bricks/Stone Wall,58328,46011,local
Not Stated about Wall,228,46011,local
Other Type Wall,29,46011,local
Unbaked Bricks,7,46011,local
Wood/Planks,320,46011,local
BambooWall,1151,46012,local
Cement Bonded Bricks/Stone Wall,4824,46012,local
Mud Bonded Bricks/Stone Wall,58328,46012,local
Not Stated about Wall,228,46012,local
Other Type Wall,29,46012,local
Unbaked Bricks,7,46012,local
Wood/Planks,320,46012,local
BambooWall,1151,46003,local
Cement Bonded Bricks/Stone Wall,4824,46003,local
Mud Bonded Bricks/Stone Wall,58328,46003,local
Not Stated about Wall,228,46003,local
Other Type Wall,29,46003,local
Unbaked Bricks,7,46003,local
Wood/Planks,320,46003,local
BambooWall,1151,46002,local
Cement Bonded Bricks/Stone Wall,4824,46002,local
Mud Bonded Bricks/Stone Wall,58328,46002,local
Not Stated about Wall,228,46002,local
Other Type Wall,29,46002,local
Unbaked Bricks,7,46002,local
Wood/Planks,320,46002,local
BambooWall,1151,46004,local
Cement Bonded Bricks/Stone Wall,4824,46004,local
Mud Bonded Bricks/Stone Wall,58328,46004,local
Not Stated about Wall,228,46004,local
Other Type Wall,29,46004,local
Unbaked Bricks,7,46004,local
Wood/Planks,320,46004,local
BambooWall,1151,46007,local
Cement Bonded Bricks/Stone Wall,4824,46007,local
Mud Bonded Bricks/Stone Wall,58328,46007,local
Not Stated about Wall,228,46007,local
Other Type Wall,29,46007,local
Unbaked Bricks,7,46007,local
Wood/Planks,320,46007,local
BambooWall,1151,46009,local
Cement Bonded Bricks/Stone Wall,4824,46009,local
Mud Bonded Bricks/Stone Wall,58328,46009,local
Not Stated about Wall,228,46009,local
Other Type Wall,29,46009,local
Unbaked Bricks,7,46009,local
Wood/Planks,320,46009,local
BambooWall,1151,46005,local
Cement Bonded Bricks/Stone Wall,4824,46005,local
Mud Bonded Bricks/Stone Wall,58328,46005,local
Not Stated about Wall,228,46005,local
Other Type Wall,29,46005,local
Unbaked Bricks,7,46005,local
Wood/Planks,320,46005,local
BambooWall,17,59,district
Cement Bonded Bricks/Stone Wall,36,59,district
Mud Bonded Bricks/Stone Wall,11009,59,district
Not Stated about Wall,91,59,district
Other Type Wall,8,59,district
Unbaked Bricks,0,59,district
Wood/Planks,41,59,district
BambooWall,17,77001,local
Cement Bonded Bricks/Stone Wall,36,77001,local
Mud Bonded Bricks/Stone Wall,11009,77001,local
Not Stated about Wall,91,77001,local
Other Type Wall,8,77001,local
Unbaked Bricks,0,77001,local
Wood/Planks,41,77001,local
BambooWall,17,77002,local
Cement Bonded Bricks/Stone Wall,36,77002,local
Mud Bonded Bricks/Stone Wall,11009,77002,local
Not Stated about Wall,91,77002,local
Other Type Wall,8,77002,local
Unbaked Bricks,0,77002,local
Wood/Planks,41,77002,local
BambooWall,17,77003,local
Cement Bonded Bricks/Stone Wall,36,77003,local
Mud Bonded Bricks/Stone Wall,11009,77003,local
Not Stated about Wall,91,77003,local
Other Type Wall,8,77003,local
Unbaked Bricks,0,77003,local
Wood/Planks,41,77003,local
BambooWall,531,54,district
Cement Bonded Bricks/Stone Wall,2315,54,district
Mud Bonded Bricks/Stone Wall,43729,54,district
Not Stated about Wall,245,54,district
Other Type Wall,66,54,district
Unbaked Bricks,140,54,district
Wood/Planks,690,54,district
BambooWall,531,52001,local
Cement Bonded Bricks/Stone Wall,2315,52001,local
Mud Bonded Bricks/Stone Wall,43729,52001,local
Not Stated about Wall,245,52001,local
Other Type Wall,66,52001,local
Unbaked Bricks,140,52001,local
Wood/Planks,690,52001,local
BambooWall,531,52004,local
Cement Bonded Bricks/Stone Wall,2315,52004,local
Mud Bonded Bricks/Stone Wall,43729,52004,local
Not Stated about Wall,245,52004,local
Other Type Wall,66,52004,local
Unbaked Bricks,140,52004,local
Wood/Planks,690,52004,local
BambooWall,531,52003,local
Cement Bonded Bricks/Stone Wall,2315,52003,local
Mud Bonded Bricks/Stone Wall,43729,52003,local
Not Stated about Wall,245,52003,local
Other Type Wall,66,52003,local
Unbaked Bricks,140,52003,local
Wood/Planks,690,52003,local
BambooWall,531,52005,local
Cement Bonded Bricks/Stone Wall,2315,52005,local
Mud Bonded Bricks/Stone Wall,43729,52005,local
Not Stated about Wall,245,52005,local
Other Type Wall,66,52005,local
Unbaked Bricks,140,52005,local
Wood/Planks,690,52005,local
BambooWall,531,52008,local
Cement Bonded Bricks/Stone Wall,2315,52008,local
Mud Bonded Bricks/Stone Wall,43729,52008,local
Not Stated about Wall,245,52008,local
Other Type Wall,66,52008,local
Unbaked Bricks,140,52008,local
Wood/Planks,690,52008,local
BambooWall,531,52002,local
Cement Bonded Bricks/Stone Wall,2315,52002,local
Mud Bonded Bricks/Stone Wall,43729,52002,local
Not Stated about Wall,245,52002,local
Other Type Wall,66,52002,local
Unbaked Bricks,140,52002,local
Wood/Planks,690,52002,local
BambooWall,531,52009,local
Cement Bonded Bricks/Stone Wall,2315,52009,local
Mud Bonded Bricks/Stone Wall,43729,52009,local
Not Stated about Wall,245,52009,local
Other Type Wall,66,52009,local
Unbaked Bricks,140,52009,local
Wood/Planks,690,52009,local
BambooWall,531,52007,local
Cement Bonded Bricks/Stone Wall,2315,52007,local
Mud Bonded Bricks/Stone Wall,43729,52007,local
Not Stated about Wall,245,52007,local
Other Type Wall,66,52007,local
Unbaked Bricks,140,52007,local
Wood/Planks,690,52007,local
BambooWall,531,52006,local
Cement Bonded Bricks/Stone Wall,2315,52006,local
Mud Bonded Bricks/Stone Wall,43729,52006,local
Not Stated about Wall,245,52006,local
Other Type Wall,66,52006,local
Unbaked Bricks,140,52006,local
Wood/Planks,690,52006,local
BambooWall,7380,60,district
Cement Bonded Bricks/Stone Wall,100397,60,district
Mud Bonded Bricks/Stone Wall,36760,60,district
Not Stated about Wall,2225,60,district
Other Type Wall,10631,60,district
Unbaked Bricks,2291,60,district
Wood/Planks,4151,60,district
BambooWall,7380,49010,local
Cement Bonded Bricks/Stone Wall,100397,49010,local
Mud Bonded Bricks/Stone Wall,36760,49010,local
Not Stated about Wall,2225,49010,local
Other Type Wall,10631,49010,local
Unbaked Bricks,2291,49010,local
Wood/Planks,4151,49010,local
BambooWall,7380,49004,local
Cement Bonded Bricks/Stone Wall,100397,49004,local
Mud Bonded Bricks/Stone Wall,36760,49004,local
Not Stated about Wall,2225,49004,local
Other Type Wall,10631,49004,local
Unbaked Bricks,2291,49004,local
Wood/Planks,4151,49004,local
BambooWall,7380,49012,local
Cement Bonded Bricks/Stone Wall,100397,49012,local
Mud Bonded Bricks/Stone Wall,36760,49012,local
Not Stated about Wall,2225,49012,local
Other Type Wall,10631,49012,local
Unbaked Bricks,2291,49012,local
Wood/Planks,4151,49012,local
BambooWall,7380,49001,local
Cement Bonded Bricks/Stone Wall,100397,49001,local
Mud Bonded Bricks/Stone Wall,36760,49001,local
Not Stated about Wall,2225,49001,local
Other Type Wall,10631,49001,local
Unbaked Bricks,2291,49001,local
Wood/Planks,4151,49001,local
BambooWall,7380,49015,local
Cement Bonded Bricks/Stone Wall,100397,49015,local
Mud Bonded Bricks/Stone Wall,36760,49015,local
Not Stated about Wall,2225,49015,local
Other Type Wall,10631,49015,local
Unbaked Bricks,2291,49015,local
Wood/Planks,4151,49015,local
BambooWall,7380,49009,local
Cement Bonded Bricks/Stone Wall,100397,49009,local
Mud Bonded Bricks/Stone Wall,36760,49009,local
Not Stated about Wall,2225,49009,local
Other Type Wall,10631,49009,local
Unbaked Bricks,2291,49009,local
Wood/Planks,4151,49009,local
BambooWall,7380,49011,local
Cement Bonded Bricks/Stone Wall,100397,49011,local
Mud Bonded Bricks/Stone Wall,36760,49011,local
Not Stated about Wall,2225,49011,local
Other Type Wall,10631,49011,local
Unbaked Bricks,2291,49011,local
Wood/Planks,4151,49011,local
BambooWall,7380,49016,local
Cement Bonded Bricks/Stone Wall,100397,49016,local
Mud Bonded Bricks/Stone Wall,36760,49016,local
Not Stated about Wall,2225,49016,local
Other Type Wall,10631,49016,local
Unbaked Bricks,2291,49016,local
Wood/Planks,4151,49016,local
BambooWall,7380,49014,local
Cement Bonded Bricks/Stone Wall,100397,49014,local
Mud Bonded Bricks/Stone Wall,36760,49014,local
Not Stated about Wall,2225,49014,local
Other Type Wall,10631,49014,local
Unbaked Bricks,2291,49014,local
Wood/Planks,4151,49014,local
BambooWall,7380,49008,local
Cement Bonded Bricks/Stone Wall,100397,49008,local
Mud Bonded Bricks/Stone Wall,36760,49008,local
Not Stated about Wall,2225,49008,local
Other Type Wall,10631,49008,local
Unbaked Bricks,2291,49008,local
Wood/Planks,4151,49008,local
BambooWall,7380,49003,local
Cement Bonded Bricks/Stone Wall,100397,49003,local
Mud Bonded Bricks/Stone Wall,36760,49003,local
Not Stated about Wall,2225,49003,local
Other Type Wall,10631,49003,local
Unbaked Bricks,2291,49003,local
Wood/Planks,4151,49003,local
BambooWall,7380,49006,local
Cement Bonded Bricks/Stone Wall,100397,49006,local
Mud Bonded Bricks/Stone Wall,36760,49006,local
Not Stated about Wall,2225,49006,local
Other Type Wall,10631,49006,local
Unbaked Bricks,2291,49006,local
Wood/Planks,4151,49006,local
BambooWall,7380,49005,local
Cement Bonded Bricks/Stone Wall,100397,49005,local
Mud Bonded Bricks/Stone Wall,36760,49005,local
Not Stated about Wall,2225,49005,local
Other Type Wall,10631,49005,local
Unbaked Bricks,2291,49005,local
Wood/Planks,4151,49005,local
BambooWall,7380,49007,local
Cement Bonded Bricks/Stone Wall,100397,49007,local
Mud Bonded Bricks/Stone Wall,36760,49007,local
Not Stated about Wall,2225,49007,local
Other Type Wall,10631,49007,local
Unbaked Bricks,2291,49007,local
Wood/Planks,4151,49007,local
BambooWall,7380,49002,local
Cement Bonded Bricks/Stone Wall,100397,49002,local
Mud Bonded Bricks/Stone Wall,36760,49002,local
Not Stated about Wall,2225,49002,local
