language,total,geo_code,geo_level,geo_version
Rai,4825,38,district,2016
Rajbanshi,114,38,district,2016
Rajsthani,231,38,district,2016
Sampang,71,38,district,2016
Santhali,14,38,district,2016
Sherpa,634,38,district,2016
Sign Language,13,38,district,2016
Sunuwar,723,38,district,2016
Tamang,52327,38,district,2016
Thakali,119,38,district,2016
Thami,83,38,district,2016
Tharu,3133,38,district,2016
Thulung,154,38,district,2016
Tibetan,584,38,district,2016
Uranw/Urau,21,38,district,2016
Urdu,733,38,district,2016
Wambule,222,38,district,2016
Yakkha,102,38,district,2016
Yamphu/Yamphe,28,38,district,2016
Avadhi,18,25005,local,2016
Bahing,22,25005,local,2016
Bajjika,11,25005,local,2016
Bangla,13,25005,local,2016
Bantawa,30,25005,local,2016
Bhojpuri,393,25005,local,2016
Bhujel,12,25005,local,2016
Chamling,35,25005,local,2016
Danuwar,11,25005,local,2016
Darai,12,25005,local,2016
Dhimal,14,25005,local,2016
Doteli,71,25005,local,2016
English,14,25005,local,2016
Gurung,153,25005,local,2016
Hindi,151,25005,local,2016
Khaling,17,25005,local,2016
Kulung,16,25005,local,2016
Limbu,254,25005,local,2016
Magar,843,25005,local,2016
Maithili,1318,25005,local,2016
Majhi,12,25005,local,2016
Nepali,36384,25005,local,2016
Newar,16516,25005,local,2016
Not Reported,60,25005,local,2016
Others,111,25005,local,2016
Rai,592,25005,local,2016
Rajbanshi,23,25005,local,2016
Sherpa,68,25005,local,2016
Sunuwar,99,25005,local,2016
Tamang,4050,25005,local,2016
Tharu,495,25005,local,2016
Thulung,35,25005,local,2016
Urdu,140,25005,local,2016
Wambule,151,25005,local,2016
Yamphu/Yamphe,28,25005,local,2016
Bahing,11,25002,local,2016
Bangla,18,25002,local,2016
Bantawa,38,25002,local,2016
Bhojpuri,205,25002,local,2016
Chamling,17,25002,local,2016
Danuwar,822,25002,local,2016
Doteli,18,25002,local,2016
English,149,25002,local,2016
Gurung,183,25002,local,2016
Hindi,95,25002,local,2016
