education level passed,geo_code,geo_level,sex,total
Intermediate and Equivalent,23003,local,Female,2858
Intermediate and Equivalent,23003,local,Male,3297
Level not Stated,23003,local,Female,380
Level not Stated,23003,local,Male,436
Lower Secondary (Class 6-8),23003,local,Female,14308
Lower Secondary (Class 6-8),23003,local,Male,16693
Non Formal Education,23003,local,Female,7512
Non Formal Education,23003,local,Male,7727
Others,23003,local,Female,45
Others,23003,local,Male,95
Post Graduate Equivalent and Above,23003,local,Female,109
Post Graduate Equivalent and Above,23003,local,Male,529
Primary Education (1-5 Class),23003,local,Female,33420
Primary Education (1-5 Class),23003,local,Male,39061
Secondary Level (Class 9-10),23003,local,Female,6522
Secondary Level (Class 9-10),23003,local,Male,8198
SLC and Equivalent,23003,local,Female,4682
SLC and Equivalent,23003,local,Male,6225
Beginners,23005,local,Female,2212
Beginners,23005,local,Male,2462
Graduate and Equivalent,23005,local,Female,415
Graduate and Equivalent,23005,local,Male,1013
Intermediate and Equivalent,23005,local,Female,2858
Intermediate and Equivalent,23005,local,Male,3297
Level not Stated,23005,local,Female,380
Level not Stated,23005,local,Male,436
Lower Secondary (Class 6-8),23005,local,Female,14308
Lower Secondary (Class 6-8),23005,local,Male,16693
Non Formal Education,23005,local,Female,7512
Non Formal Education,23005,local,Male,7727
Others,23005,local,Female,45
Others,23005,local,Male,95
Post Graduate Equivalent and Above,23005,local,Female,109
Post Graduate Equivalent and Above,23005,local,Male,529
Primary Education (1-5 Class),23005,local,Female,33420
Primary Education (1-5 Class),23005,local,Male,39061
Secondary Level (Class 9-10),23005,local,Female,6522
Secondary Level (Class 9-10),23005,local,Male,8198
SLC and Equivalent,23005,local,Female,4682
SLC and Equivalent,23005,local,Male,6225
Beginners,23001,local,Female,2212
Beginners,23001,local,Male,2462
Graduate and Equivalent,23001,local,Female,415
Graduate and Equivalent,23001,local,Male,1013
Intermediate and Equivalent,23001,local,Female,2858
Intermediate and Equivalent,23001,local,Male,3297
Level not Stated,23001,local,Female,380
Level not Stated,23001,local,Male,436
Lower Secondary (Class 6-8),23001,local,Female,14308
Lower Secondary (Class 6-8),23001,local,Male,16693
Non Formal Education,23001,local,Female,7512
Non Formal Education,23001,local,Male,7727
Others,23001,local,Female,45
Others,23001,local,Male,95
Post Graduate Equivalent and Above,23001,local,Female,109
Post Graduate Equivalent and Above,23001,local,Male,529
Primary Education (1-5 Class),23001,local,Female,33420
Primary Education (1-5 Class),23001,local,Male,39061
Secondary Level (Class 9-10),23001,local,Female,6522
Secondary Level (Class 9-10),23001,local,Male,8198
SLC and Equivalent,23001,local,Female,4682
SLC and Equivalent,23001,local,Male,6225
Beginners,23009,local,Female,2212
Beginners,23009,local,Male,2462
Graduate and Equivalent,23009,local,Female,415
Graduate and Equivalent,23009,local,Male,1013
Intermediate and Equivalent,23009,local,Female,2858
Intermediate and Equivalent,23009,local,Male,3297
Level not Stated,23009,local,Female,380
Level not Stated,23009,local,Male,436
Lower Secondary (Class 6-8),23009,local,Female,14308
Lower Secondary (Class 6-8),23009,local,Male,16693
Non Formal Education,23009,local,Female,7512
Non Formal Education,23009,local,Male,7727
Others,23009,local,Female,45
Others,23009,local,Male,95
Post Graduate Equivalent and Above,23009,local,Female,109
Post Graduate Equivalent and Above,23009,local,Male,529
Primary Education (1-5 Class),23009,local,Female,33420
Primary Education (1-5 Class),23009,local,Male,39061
Secondary Level (Class 9-10),23009,local,Female,6522
Secondary Level (Class 9-10),23009,local,Male,8198
SLC and Equivalent,23009,local,Female,4682
SLC and Equivalent,23009,local,Male,6225
Beginners,23012,local,Female,2212
Beginners,23012,local,Male,2462
Graduate and Equivalent,23012,local,Female,415
Graduate and Equivalent,23012,local,Male,1013
Intermediate and Equivalent,23012,local,Female,2858
Intermediate and Equivalent,23012,local,Male,3297
Level not Stated,23012,local,Female,380
Level not Stated,23012,local,Male,436
Lower Secondary (Class 6-8),23012,local,Female,14308
Lower Secondary (Class 6-8),23012,local,Male,16693
Non Formal Education,23012,local,Female,7512
Non Formal Education,23012,local,Male,7727
Others,23012,local,Female,45
Others,23012,local,Male,95
Post Graduate Equivalent and Above,23012,local,Female,109
Post Graduate Equivalent and Above,23012,local,Male,529
Primary Education (1-5 Class),23012,local,Female,33420
Primary Education (1-5 Class),23012,local,Male,39061
Secondary Level (Class 9-10),23012,local,Female,6522
Secondary Level (Class 9-10),23012,local,Male,8198
SLC and Equivalent,23012,local,Female,4682
SLC and Equivalent,23012,local,Male,6225
Beginners,23002,local,Female,2212
Beginners,23002,local,Male,2462
Graduate and Equivalent,23002,local,Female,415
Graduate and Equivalent,23002,local,Male,1013
Intermediate and Equivalent,23002,local,Female,2858
Intermediate and Equivalent,23002,local,Male,3297
Level not Stated,23002,local,Female,380
Level not Stated,23002,local,Male,436
Lower Secondary (Class 6-8),23002,local,Female,14308
Lower Secondary (Class 6-8),23002,local,Male,16693
Non Formal Education,23002,local,Female,7512
Non Formal Education,23002,local,Male,7727
Others,23002,local,Female,45
Others,23002,local,Male,95
Post Graduate Equivalent and Above,23002,local,Female,109
Post Graduate Equivalent and Above,23002,local,Male,529
Primary Education (1-5 Class),23002,local,Female,33420
Primary Education (1-5 Class),23002,local,Male,39061
Secondary Level (Class 9-10),23002,local,Female,6522
Secondary Level (Class 9-10),23002,local,Male,8198
SLC and Equivalent,23002,local,Female,4682
SLC and Equivalent,23002,local,Male,6225
Beginners,23010,local,Female,2212
Beginners,23010,local,Male,2462
Graduate and Equivalent,23010,local,Female,415
Graduate and Equivalent,23010,local,Male,1013
Intermediate and Equivalent,23010,local,Female,2858
Intermediate and Equivalent,23010,local,Male,3297
Level not Stated,23010,local,Female,380
Level not Stated,23010,local,Male,436
