geo_code,geo_level,literacy,sex,total,geo_version
36,district,Read Only,Male,4519,2016
24001,local,Literate,Female,19341,2016
24001,local,Literate,Male,22846,2016
24001,local,Not Read/Write,Female,6755,2016
24001,local,Not Read/Write,Male,2052,2016
24001,local,Not Stated,Female,28,2016
24001,local,Not Stated,Male,10,2016
24001,local,Read Only,Female,477,2016
24001,local,Read Only,Male,370,2016
24011,local,Literate,Female,11462,2016
24011,local,Literate,Male,13320,2016
24011,local,Not Read/Write,Female,6781,2016
24011,local,Not Read/Write,Male,2832,2016
24011,local,Not Stated,Female,15,2016
24011,local,Not Stated,Male,5,2016
24011,local,Read Only,Female,533,2016
24011,local,Read Only,Male,433,2016
24007,local,Literate,Female,4113,2016
24007,local,Literate,Male,5117,2016
24007,local,Not Read/Write,Female,3470,2016
24007,local,Not Read/Write,Male,2109,2016
24007,local,Not Stated,Female,9,2016
24007,local,Not Stated,Male,4,2016
24007,local,Read Only,Female,673,2016
24007,local,Read Only,Male,573,2016
24010,local,Literate,Female,15678,2016
24010,local,Literate,Male,17494,2016
24010,local,Not Read/Write,Female,7235,2016
24010,local,Not Read/Write,Male,2346,2016
24010,local,Not Stated,Female,24,2016
24010,local,Not Stated,Male,6,2016
24010,local,Read Only,Female,388,2016
24010,local,Read Only,Male,297,2016
24008,local,Literate,Female,9289,2016
24008,local,Literate,Male,10600,2016
24008,local,Not Read/Write,Female,6347,2016
24008,local,Not Read/Write,Male,2970,2016
24008,local,Not Stated,Female,13,2016
24008,local,Not Stated,Male,0,2016
24008,local,Read Only,Female,568,2016
24008,local,Read Only,Male,579,2016
24002,local,Literate,Female,5005,2016
24002,local,Literate,Male,5436,2016
24002,local,Not Read/Write,Female,3241,2016
24002,local,Not Read/Write,Male,1403,2016
24002,local,Not Stated,Female,5,2016
24002,local,Not Stated,Male,2,2016
24002,local,Read Only,Female,197,2016
24002,local,Read Only,Male,180,2016
24012,local,Literate,Female,7821,2016
24012,local,Literate,Male,9094,2016
24012,local,Not Read/Write,Female,5765,2016
24012,local,Not Read/Write,Male,2815,2016
24012,local,Not Stated,Female,28,2016
24012,local,Not Stated,Male,15,2016
24012,local,Read Only,Female,402,2016
24012,local,Read Only,Male,390,2016
