home ownership,total,geo_code,geo_level,geo_version
Owned House,5891,53004,local,2016
Rental House,1119,53004,local,2016
Institutional House,4,53010,local,2016
Other Type of House,34,53010,local,2016
Owned House,4334,53010,local,2016
Rental House,168,53010,local,2016
Institutional House,4,53006,local,2016
Other Type of House,14,53006,local,2016
Owned House,3409,53006,local,2016
Rental House,28,53006,local,2016
Institutional House,4,53009,local,2016
Other Type of House,24,53009,local,2016
Owned House,2093,53009,local,2016
Rental House,51,53009,local,2016
Institutional House,3,53005,local,2016
Other Type of House,23,53005,local,2016
Owned House,5473,53005,local,2016
Rental House,185,53005,local,2016
Institutional House,6,53002,local,2016
Other Type of House,13,53002,local,2016
Owned House,4334,53002,local,2016
